Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07,t_rel,idx
46.664,45443.11328125,-26283.21875,48027.51953125,12517.6689453125,8456.2548828125,45150.92578125,-4362.4638671875,-1.8550788999898415,1
46.668,45605.01953125,-25111.916015625,48360.875,12600.232421875,8858.443359375,45299.39453125,-3969.479248046875,-1.8510788999898438,1
46.672,49005.10546875,-20290.208984375,48032.0,11246.7060546875,10684.2529296875,45923.57421875,-1989.4603271484373,-1.847078899989846,1
46.676,49375.51953125,-20746.921875,47603.73046875,10951.3779296875,10565.3544921875,45863.23046875,-2079.153564453125,-1.843078899989841,1
46.68,45994.4296875,-25636.224609375,47888.85546875,12319.255859375,8731.2001953125,45268.30078125,-4064.01171875,-1.8390788999898433,1
46.684,45277.79296875,-25710.96484375,48268.30078125,12716.484375,8663.607421875,45228.125,-4176.6171875,-1.8350788999898455,1
46.688,48464.20703125,-20980.12109375,48056.10546875,11493.9951171875,10434.0078125,45850.13671875,-2259.08740234375,-1.8310788999898406,1
46.692,49710.9921875,-20135.35546875,47549.39453125,10830.6904296875,10798.0986328125,45943.3125,-1827.5025634765625,-1.8270788999898429,1
46.696,46612.17578125,-24854.28125,47761.5625,12102.9140625,9057.521484375,45406.39453125,-3697.586669921875,-1.823078899989845,1
46.7,45054.32421875,-26199.009765625,48157.19921875,12794.9013671875,8506.7529296875,45175.4375,-4335.78515625,-1.8190788999898402,1
46.704,47859.0234375,-21808.056640625,48061.65625,11754.7763671875,10129.7626953125,45756.5546875,-2581.811279296875,-1.8150788999898424,1
