Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08, Ch09, Ch10, Ch11, Ch12, Ch13
0.212,-200000,-200000,-200000,-200000,-200000,-200000,44550.15625,-21388.333984375,457460832,63844596,9673422,6163532,49556.42578125
0.216,-200000,-200000,-200000,-200000,-200000,-200000,43830.92578125,-24094.73046875,580556096,75455720,11432685,6163532,50344.51953125
0.22,-200000,-200000,-200000,-200000,-200000,-200000,45422.53125,-26392.76171875,696577856,89387264,13543525,6163532,50795.53125
0.224,-200000,-200000,-200000,-200000,-200000,-200000,46456.125,-28207.375,795656000,105300352,15954598,6163532,50139.86328125
0.228,-200000,-200000,-200000,-200000,-200000,-200000,44963.60546875,-29473.54296875,868689728,122674048,18586976,24096090,49595.76953125
0.232,-200000,-200000,-200000,-200000,-200000,-200000,43706.9921875,-30138.30859375,908317568,140839984,21339392,24096090,50155.59375
0.236,-200000,-200000,-200000,-200000,-200000,-200000,45082.48046875,-30162.458984375,909774016,159034192,24096090,24096090,50759.8671875
0.24,-200000,-200000,-200000,-200000,-200000,-200000,46558.2421875,-29521.90625,871542976,176461744,26736630,24096090,50318.21875
0.244,-200000,-200000,-200000,-200000,-200000,-200000,45352.125,-28208.62109375,795726336,192368720,29146778,24096090,49647.6171875
0.248,-200000,-200000,-200000,-200000,-200000,-200000,43682.67578125,-26231.15234375,688073408,206114992,31229546,24096090,49966.29296875
0.252,-200000,-200000,-200000,-200000,-200000,-200000,44748.28125,-23614.69921875,557654016,217240400,32915212,24096090,50682.88671875
0.256,-200000,-200000,-200000,-200000,-200000,-200000,46574.16796875,-20400.740234375,416190208,225518208,34169428,24096090,50510.8359375
0.26,-200000,-200000,-200000,-200000,-200000,-200000,45699.90625,-16646.212890625,277096384,230989824,34998456,24096090,49733.5
0.264,-200000,-200000,-200000,-200000,-200000,-200000,43760.92578125,-12422.271484375,154312832,233976448,35450976,24096090,49774.41796875
0.268,-200000,-200000,-200000,-200000,-200000,-200000,44508.8671875,-7812.66796875,61037780,235065984,35616056,24096090,50624.8046875
0.272,-200000,-200000,-200000,-200000,-200000,-200000,46445.4921875,-2911.778564453125,8478454,235074512,35617356,24096090,50654.625
0.276,-200000,-200000,-200000,-200000,-200000,-200000,45973.01953125,2177.645751953125,4742141.5,234985552,35603872,35603872,49787.90625
0.28,-200000,-200000,-200000,-200000,-200000,-200000,43995.3125,7346.96337890625,53977876,235871056,35738040,35603872,49653.73046875
0.284,-200000,-200000,-200000,-200000,-200000,-200000,44314.3359375,12484.2861328125,155857408,238800608,36181912,35603872,50562.07421875
0.288,-200000,-200000,-200000,-200000,-200000,-200000,46215.89453125,17477.208984375,305452800,244747104,37082900,35603872,50742.53125
0.292,-200000,-200000,-200000,-200000,-200000,-200000,46207.14453125,22215.556640625,493530976,254496432,38560064,35603872,49862.98828125
0.296,-200000,-200000,-200000,-200000,-200000,-200000,44311.7421875,26594.072265625,707244736,268570112,40692440,35603872,49578.9296875
0.3,-200000,-200000,-200000,-200000,-200000,-200000,44126.4375,30514.978515625,931163968,287168416,43510368,35603872,50465.94921875
0.304,-200000,-200000,-200000,-200000,-200000,-200000,45927,33890.34375,1148555264,310138976,46990752,35603872,50797.23046875
0.308,-200000,-200000,-200000,-200000,-200000,-200000,46402.625,36644.19921875,1342797440,336976224,51057004,35603872,49962.4296875
0.312,-200000,-200000,-200000,-200000,-200000,-200000,44680.7421875,38714.3125,1498797824,366850912,55583476,60404480,49552.51953125
0.316,-200000,-200000,-200000,-200000,-200000,-200000,43971.13671875,40053.67578125,1604297088,398669568,60404480,60404480,50339.48828125
0.32,-200000,-200000,-200000,-200000,-200000,-200000,45575.1171875,40631.53125,1650921216,431158528,65327052,60404480,50789.21875
0.324,-200000,-200000,-200000,-200000,-200000,-200000,46594.57421875,40434.05078125,1634912640,462966112,70146392,60404480,50126.0546875
0.328,-200000,-200000,-200000,-200000,-200000,-200000,45088.84375,39464.5546875,1557451136,492773632,74662680,60404480,49584.32421875
0.332,-200000,-200000,-200000,-200000,-200000,-200000,43854.3125,37743.30078125,1424556800,519406688,78697984,60404480,50154.375
0.336,-200000,-200000,-200000,-200000,-200000,-200000,45243.5546875,35306.90625,1246577664,541934400,82111272,60404480,50754.5234375
0.34,-200000,-200000,-200000,-200000,-200000,-200000,46703.91796875,32207.328125,1037312000,559749824,84810584,60404480,50304.34375
0.344,-200000,-200000,-200000,-200000,-200000,-200000,45479.73046875,28510.52734375,812850176,572622016,86760920,60404480,49633.08203125
0.348,-200000,-200000,-200000,-200000,-200000,-200000,43829.54296875,24294.76171875,590235456,580715008,87987120,60404480,49967.69921875
0.352,-200000,-200000,-200000,-200000,-200000,-200000,44910.69921875,19648.66796875,386070176,584572288,88571560,60404480,50676.11328125
0.356,-200000,-200000,-200000,-200000,-200000,-200000,46719.98828125,14669.068359375,215181568,585066176,88646384,88646384,50493.36328125
0.36,-200000,-200000,-200000,-200000,-200000,-200000,45834.23828125,9458.6591796875,89466224,583317504,88381440,88646384,49719.45703125
0.364,-200000,-200000,-200000,-200000,-200000,-200000,43898.8671875,4123.57275390625,17003852,580594048,87968808,88646384,49771
0.368,-200000,-200000,-200000,-200000,-200000,-200000,44668.53125,-1229.0748291015625,1510624.75,578193088,87605016,88646384,50616.4609375
0.372,-200000,-200000,-200000,-200000,-200000,-200000,46599.9609375,-6493.62353515625,42167148,577323840,87473320,88646384,50641.70703125
0.376,-200000,-200000,-200000,-200000,-200000,-200000,46096.0625,-11568.21875,133823680,578997568,87726896,88646384,49771.48046875
0.38,-200000,-200000,-200000,-200000,-200000,-200000,44132.26171875,-16357.0205078125,267552096,583936192,88475184,96678144,49651.53125
0.384,-200000,-200000,-200000,-200000,-200000,-200000,44460.61328125,-20772.208984375,431484672,592509312,89774144,96678144,50555.54296875
0.388,-200000,-200000,-200000,-200000,-200000,-200000,46369.3125,-24735.755859375,611857600,604704768,91621936,96678144,50732.26171875
0.392,-200000,-200000,-200000,-200000,-200000,-200000,46343.3984375,-28180.927734375,794164608,620134272,93959744,96678144,49850.65625
0.396,-200000,-200000,-200000,-200000,-200000,-200000,44443.0625,-31053.478515625,964318528,638075712,96678144,96678144,49572.9921875
0.4,-200000,-200000,-200000,-200000,-200000,-200000,44273.48046875,-33312.48828125,1109721856,657545600,99628136,96678144,50463.25
0.404,-200000,-200000,-200000,-200000,-200000,-200000,46080.09375,-34930.90625,1220168320,677396480,102635824,96678144,50787.6875
0.408,-200000,-200000,-200000,-200000,-200000,-200000,46547.25,-35895.7421875,1288504320,696427392,105519296,96678144,49955.13671875
