Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07,t_rel,idx
65.468,22273.447265625,-21255.255859375,-28163.671875,89755.796875,-25535.25,23386.052734375,24452.880859375,8.385011299985464,0
65.472,22508.98046875,-20598.24609375,-27782.703125,89673.8125,-24677.162109375,23364.40234375,23643.28125,8.389011299985455,0
65.476,22401.30859375,-19641.021484375,-27255.396484375,89511.6640625,-23518.349609375,23251.990234375,22769.072265625,8.39301129998546,0
65.48,22146.443359375,-20094.587890625,-27536.396484375,89544.75,-24118.666015625,23246.3125,23360.68359375,8.397011299985465,0
65.484,22198.796875,-21237.828125,-28165.390625,89716.0859375,-25528.912109375,23355.34375,24431.447265625,8.401011299985456,0
65.488,22473.71875,-20800.44921875,-27902.677734375,89667.375,-24930.98046875,23360.208984375,23816.23046875,8.40501129998546,0
65.492,22430.615234375,-19731.333984375,-27312.447265625,89491.796875,-23618.078125,23243.572265625,22785.234375,8.409011299985465,0
65.496,22157.57421875,-19951.296875,-27463.15234375,89488.484375,-23934.869140625,23212.125,23154.046875,8.413011299985456,0
65.5,22131.015625,-21149.63671875,-28131.677734375,89656.9609375,-25422.859375,23317.93359375,24327.615234375,8.417011299985461,0
65.504,22423.056640625,-20975.875,-28016.974609375,89652.5625,-25153.58984375,23350.859375,23971.05859375,8.421011299985466,0
65.508,22442.630859375,-19878.9375,-27406.62109375,89480.7890625,-23788.740234375,23241.259765625,22866.849609375,8.425011299985457,0
65.512,22173.978515625,-19841.744140625,-27411.19921875,89440.0234375,-23794.34375,23188.759765625,22995.521484375,8.429011299985461,0
65.516,22092.890625,-20991.13671875,-28057.958984375,89592.609375,-25233.416015625,23280.646484375,24164.890625,8.433011299985466,0
65.52,22372.796875,-21119.931640625,-28113.796875,89634.109375,-25341.443359375,23339.037109375,24109.677734375,8.437011299985457,0
65.524,22448.23046875,-20065.80859375,-27521.900390625,89476.234375,-24015.833984375,23243.90625,23011.28125,8.441011299985462,0
65.528,22196.271484375,-19764.474609375,-27374.603515625,89395.3984375,-23697.521484375,23169.94921875,22868.947265625,8.445011299985467,0
65.532,22055.916015625,-20801.90234375,-27967.90625,89525.171875,-25001.912109375,23241.380859375,23957.515625,8.449011299985457,0
65.536,22307.109375,-21239.78125,-28196.384765625,89612.2109375,-25496.9375,23314.953125,24214.24609375,8.453011299985462,0
65.54,22438.244140625,-20283.60546875,-27653.43359375,89466.5859375,-24281.146484375,23241.140625,23168.015625,8.457011299985467,0
65.544,22222.974609375,-19726.015625,-27359.728515625,89355.8125,-23639.91796875,23149.708984375,22753.0,8.461011299985458,0
65.548,22039.083984375,-20593.26171875,-27861.837890625,89460.875,-24737.693359375,23201.73046875,23716.525390625,8.465011299985463,0
65.552,22235.109375,-21322.896484375,-28258.875,89585.375,-25607.5625,23294.833984375,24299.43359375,8.469011299985468,0
65.556,22423.009765625,-20499.541015625,-27789.40234375,89468.0859375,-24549.55859375,23243.76171875,23347.525390625,8.473011299985458,0
65.56,22257.115234375,-19719.556640625,-27362.587890625,89322.7265625,-23624.041015625,23132.18359375,22681.333984375,8.477011299985463,0
65.564,22032.240234375,-20385.265625,-27758.171875,89391.421875,-24477.056640625,23157.40625,23463.990234375,8.481011299985454,0
65.568,22152.068359375,-21363.572265625,-28298.140625,89545.296875,-25673.69921875,23259.119140625,24332.837890625,8.485011299985459,0
65.572,22392.775390625,-20719.83984375,-27923.541015625,89463.1015625,-24828.984375,23238.162109375,23532.51171875,8.489011299985464,0
65.576,22284.29296875,-19757.10546875,-27392.462890625,89297.8515625,-23659.208984375,23122.791015625,22652.103515625,8.493011299985454,0
65.58,22037.74609375,-20198.96484375,-27665.640625,89334.7890625,-24241.353515625,23118.28125,23234.84375,8.49701129998546,0
65.584,22076.51171875,-21346.046875,-28303.625,89500.0859375,-25660.208984375,23226.525390625,24311.666015625,8.501011299985464,0
65.588,22352.21875,-20916.19921875,-28042.630859375,89454.25,-25072.765625,23235.396484375,23710.181640625,8.505011299985455,0
65.592,22312.833984375,-19844.15234375,-27447.84375,89280.0625,-23754.3125,23116.353515625,22678.328125,8.50901129998546,0
65.596,22044.208984375,-20052.93359375,-27591.755859375,89275.625,-24057.771484375,23085.072265625,23037.79296875,8.513011299985465,0
65.6,22013.740234375,-21249.224609375,-28260.662109375,89446.984375,-25545.646484375,23190.26171875,24208.5,8.517011299985455,0
65.604,22304.203125,-21089.412109375,-28153.73046875,89438.4375,-25288.130859375,23222.521484375,23858.5,8.52101129998546,0
65.608,22326.900390625,-19993.85546875,-27540.521484375,89269.0234375,-23927.525390625,23112.65625,22752.21484375,8.525011299985465,0
65.612,22058.55859375,-19948.462890625,-27540.921875,89226.5859375,-23919.537109375,23058.65234375,22867.037109375,8.529011299985456,0
65.616,21964.958984375,-21094.32421875,-28187.73046875,89378.5390625,-25354.244140625,23150.515625,24028.828125,8.53301129998546,0
65.62,22249.484375,-21235.896484375,-28251.53125,89422.375,-25479.078125,23208.66796875,23982.884765625,8.537011299985465,0
65.624,22326.99609375,-20187.546875,-27663.568359375,89261.9375,-24159.865234375,23113.896484375,22882.322265625,8.541011299985456,0
65.628,22073.65234375,-19872.0,-27509.80859375,89183.671875,-23821.85546875,23036.865234375,22721.650390625,8.545011299985461,0
65.632,21925.09375,-20906.166015625,-28101.162109375,89312.0859375,-25119.99609375,23104.693359375,23809.578125,8.549011299985466,0
65.636,22178.33984375,-21352.625,-28334.025390625,89397.4375,-25630.26171875,23183.087890625,24080.015625,8.553011299985457,0
65.64,22311.734375,-20400.931640625,-27793.337890625,89256.8984375,-24420.26171875,23108.865234375,23037.671875,8.557011299985462,0
65.644,22094.609375,-19836.76171875,-27499.537109375,89142.1875,-23770.09375,23011.28125,22614.21875,8.561011299985466,0
65.648,21908.546875,-20699.52734375,-27997.99609375,89242.5234375,-24861.412109375,23063.568359375,23571.087890625,8.565011299985457,0
65.652,22103.046875,-21439.365234375,-28398.255859375,89367.8515625,-25744.728515625,23159.958984375,24165.322265625,8.569011299985462,0
65.656,22293.85546875,-20620.302734375,-27928.28125,89255.3515625,-24689.078125,23112.65625,23222.306640625,8.573011299985467,0
65.66,22124.458984375,-19831.87109375,-27503.994140625,89109.0625,-23753.693359375,23000.48046875,22546.078125,8.577011299985458,0
65.664,21904.255859375,-20489.859375,-27892.974609375,89177.9765625,-24594.85546875,23024.275390625,23323.275390625,8.581011299985462,0
65.668,22026.208984375,-21476.29296875,-28431.896484375,89331.6640625,-25800.109375,23128.60546875,24200.775390625,8.585011299985467,0
65.672,22264.578125,-20839.26171875,-28062.083984375,89251.7265625,-24962.072265625,23110.10546875,23408.916015625,8.589011299985458,0
65.676,22154.140625,-19875.02734375,-27534.869140625,89082.7109375,-23791.88671875,22988.703125,22515.25,8.593011299985463,0
