Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08, Ch09
30.168,671.83758544921875,-29.603658676147461,-45.639514923095703,-254.05744934082031,75.998825073242188,-29.218389511108398,2.066371962428093e-09,0.3991997241973877,0
30.172,643.8206787109375,-47.879844665527344,-71.966964721679688,-282.45849609375,140.66667175292969,-38.831748962402344,2.066371962428093e-09,0.1953703910112381,0
30.176,612.4432373046875,-55.876274108886719,-71.856689453125,-288.662841796875,149.390380859375,-49.447654724121094,2.066371962428093e-09,-0.15157456696033478,0
30.18,604.3994140625,-29.32867431640625,-24.271738052368164,-253.68696594238281,141.85800170898438,-34.548614501953125,2.066371962428093e-09,-0.3746483325958252,0
30.184,579.5701904296875,-18.551769256591797,-0.85346096754074097,-252.029541015625,163.18193054199219,-25.864467620849609,2.066371962428093e-09,-0.49048924446105957,0
30.188,538.08416748046875,-34.2867431640625,-12.070500373840332,-276.01626586914062,195.54074096679688,-40.08966064453125,2.066371962428093e-09,-0.5588841438293457,0
30.192,523.37335205078125,-31.247488021850586,-6.9196205139160156,-260.82217407226562,201.21012878417969,-42.915802001953125,2.066371962428093e-09,-0.52889424562454224,0
30.196,520.00262451171875,-19.715179443359375,-6.0170087814331055,-242.30842590332031,176.1436767578125,-31.45294189453125,2.066371962428093e-09,-0.54386365413665771,0
30.2,494.43017578125,-35.586986541748047,-42.162548065185547,-266.54364013671875,158.48971557617188,-36.493907928466797,2.066371962428093e-09,-0.53357410430908203,0
30.204,472.35830688476562,-49.118278503417969,-64.707138061523438,-275.12890625,179.45846557617188,-46.384845733642578,2.066371962428093e-09,-0.51384276151657104,0
30.208,466.17984008789062,-34.423614501953125,-48.496112823486328,-245.01290893554688,204.38288879394531,-36.858562469482422,2.066371962428093e-09,-0.51883792877197266,0
30.212,436.85873413085938,-29.005397796630859,-46.479106903076172,-243.67904663085938,182.53434753417969,-29.491403579711914,2.066371962428093e-09,-0.40169978141784668,0
30.216,383.31405639648438,-43.594017028808594,-61.799732208251953,-269.197021484375,153.68441772460938,-40.02520751953125,2.066371962428093e-09,-0.28162235021591187,0
30.22,349.08749389648438,-36.429130554199219,-40.668842315673828,-253.54061889648438,204.60026550292969,-40.783477783203125,2.066371962428093e-09,-0.21836669743061066,0
30.224,329.78997802734375,-13.679067611694336,-5.5649399757385254,-222.87240600585938,305.196044921875,-26.688013076782227,2.066371962428093e-09,-0.097250878810882568,0
30.228,291.68768310546875,-19.713623046875,-14.738306999206543,-239.61930847167969,349.48626708984375,-29.030267715454102,2.066371962428093e-09,0.093165077269077301,0
30.232,256.07025146484375,-35.235992431640625,-33.227458953857422,-256.75668334960938,353.98870849609375,-42.367443084716797,2.066371962428093e-09,0.022937800735235214,0
30.236,251.51448059082031,-21.453405380249023,-13.502738952636719,-225.83493041992188,395.56488037109375,-35.062713623046875,2.066371962428093e-09,-0.2454676628112793,0
30.24,246.73385620117188,-12.574430465698242,-4.7737350463867188,-212.4996337890625,423.81185913085938,-24.661230087280273,2.066371962428093e-09,-0.19123014807701111,0
30.244,227.30485534667969,-34.888236999511719,-32.805713653564453,-243.43624877929688,347.06982421875,-37.81793212890625,2.066371962428093e-09,0.089627228677272797,0
30.248,233.205810546875,-39.976097106933594,-31.844097137451172,-240.52206420898438,220.52001953125,-44.684001922607422,2.066371962428093e-09,0.12950630486011505,0
30.252,263.26034545898438,-16.835048675537109,0.65788507461547852,-203.51144409179688,166.92964172363281,-27.468435287475586,2.066371962428093e-09,0.038728863000869751,0
30.256,279.48330688476562,-17.597789764404297,-2.8820457458496094,-208.50119018554688,177.76484680175781,-22.76055908203125,2.066371962428093e-09,0.077183879911899567,0
30.26,303.849609375,-37.6666259765625,-25.895687103271484,-230.13362121582031,170.2734375,-37.564319610595703,2.066371962428093e-09,-0.03429301455616951,0
30.264,380.03067016601562,-28.450649261474609,-10.017868041992188,-203.9827880859375,149.996337890625,-34.060321807861328,2.066371962428093e-09,-0.33629316091537476,0
30.268,476.99349975585938,-11.524396896362305,7.6136536598205566,-179.58647155761719,161.96098327636719,-17.914028167724609,2.066371962428093e-09,-0.60630166530609131,0
30.272,549.40545654296875,-26.028451919555664,-15.147459030151367,-201.80546569824219,191.2392578125,-23.608501434326172,2.066371962428093e-09,-0.67606544494628906,0
30.276,618.10076904296875,-35.510002136230469,-22.082061767578125,-204.45088195800781,197.38435363769531,-33.485790252685547,2.066371962428093e-09,-0.50401097536087036,0
30.28,688.9329833984375,-15.148094177246094,8.632258415222168,-168.04533386230469,170.9906005859375,-21.134130477905273,2.066371962428093e-09,-0.18189696967601776,0
30.284,709.77001953125,-10.603259086608887,14.853922843933105,-166.83798217773438,130.6683349609375,-15.399848937988281,2.066371962428093e-09,0.22482769191265106,0
30.288,683.18341064453125,-26.979040145874023,3.5405611991882324,-190.7926025390625,102.80019378662109,-30.413995742797852,2.066371962428093e-09,0.44893327355384827,0
