location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,response_2.rt,response_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials.response_2.keys,trials.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,trials.response_2.rt,trials.response_2.duration,End.started,thank_you.started,thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"[0, 0]",None,17,17,0,None,1,,,0,17,17,17,148.68917750008404,,,,,,,,,,,,,,148.68149199988693,148.69695209991187,148.69695209991187,148.69695209991187,149.69834609981626,149.68977269995958,150.69111170014367,150.6826221998781,None,1,None,2125943.4095295,150.69111170014367,150.69111170014367,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0, -0.2]",None,18,18,0,None,1,,,0,18,18,18,150.69111170014367,,,,,,,,,,,,,,150.68290850007907,150.69894179981202,150.69894179981202,150.69894179981202,151.70118789980188,151.69157969998196,152.69257450010628,152.68436479987577,None,1,None,2125945.4109559,152.69257450010628,152.69257450010628,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0.2, 0]",None,19,19,0,None,1,,,0,19,19,19,152.69257450010628,,,,,,,,,,,,,,152.68465879978612,152.70053760008886,152.70053760008886,152.70053760008886,153.70164520014077,153.69352999981493,154.6941186999902,154.68615770014003,None,1,None,2125947.4127052,154.6941186999902,154.6941186999902,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0, -0.2]",space,20,20,0,None,0,,,0,20,20,20,154.6941186999902,,,,,,,,,,,,,,154.68644449999556,154.6941186999902,154.6941186999902,154.6941186999902,155.69526189984754,155.68694100016728,156.68738179979846,156.67913480009884,None,0,None,2125949.4144928,156.68738179979846,156.68738179979846,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[-0.2, 0.2]",None,21,21,0,None,1,,,0,21,21,21,156.68738179979846,,,,,,,,,,,,,,156.67958230013028,156.69613870000467,156.69613870000467,156.69613870000467,157.6971164001152,157.68864239985123,158.689370600041,158.6808470999822,None,1,None,2125951.4075946,158.689370600041,158.689370600041,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0.2, -0.2]",None,22,22,0,None,1,,,0,22,22,22,158.689370600041,,,,,,,,,,,,,,158.68114339979365,158.6970075997524,158.6970075997524,158.6970075997524,159.698093699757,159.68974599987268,160.6904234001413,160.68230539979413,None,1,None,2125953.4091905,160.6904234001413,160.6904234001413,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[-0.2, 0.2]",space,23,23,0,space,1,0.8072019000537694,0.17932299990206957,0,23,23,23,160.6904234001413,,,,,,,,,,,,,,160.68258469970897,160.69883299991488,160.69883299991488,160.69883299991488,161.69982609990984,161.69161769980565,162.69241169979796,162.68363730004057,space,1,None,2125955.4106339,162.69241169979796,162.69241169979796,0.8072019000537694,0.17932299990206957,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0, 0]",None,24,24,0,None,1,,,0,24,24,24,162.69241169979796,,,,,,,,,,,,,,162.6839248999022,162.7004877999425,162.7004877999425,162.7004877999425,163.70117529993877,163.69338059984148,164.69383749971166,164.6854572999291,None,1,None,2125957.4119706,164.69383749971166,164.69383749971166,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0.2, 0.2]",None,25,25,0,None,1,,,0,25,25,25,164.69383749971166,,,,,,,,,,,,,,164.68574040010571,164.7025044998154,164.7025044998154,164.7025044998154,165.69568370003253,165.69568370003253,166.686929800082,166.68716839980334,None,1,None,2125959.4137865,166.69545829994604,166.69545829994604,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[-0.2, -0.2]",None,26,26,0,None,1,,,0,26,26,26,166.69545829994604,,,,,,,,,,,,,,166.6874349997379,166.69545829994604,166.69545829994604,166.69545829994604,167.69622119981796,167.6880338001065,168.68887439975515,168.68070519994944,None,1,None,2125961.4154851,168.68887439975515,168.68887439975515,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
