location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,response_2.rt,response_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials.response_2.keys,trials.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,trials.response_2.rt,trials.response_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"[0, -0.2]",space,8,8,0,space,1,0.6591990999877453,0.12038129987195134,0,8,8,8,75.07747400039807,,,,,,,,,,,,,,75.07055540010333,75.08647290011868,75.08647290011868,75.08647290011868,76.08629720006138,76.07831820007414,77.07919490011409,77.07098790025339,space,1,None,2112887.2298906,77.07919490011409,77.07919490011409,0.6591990999877453,0.12038129987195134,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[0.2, 0.2]",space,9,9,0,None,0,,,0,9,9,9,77.07919490011409,,,,,,,,,,,,,,77.07156530022621,77.08732200041413,77.08732200041413,77.08732200041413,78.07956250011921,78.07956250011921,79.07253670040518,79.07329280022532,None,0,None,2112889.2309129,79.08130630012602,79.08130630012602,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[0.2, 0]",None,10,10,0,None,1,,,0,10,10,10,79.08130630012602,,,,,,,,,,,,,,79.07432530028746,79.08130630012602,79.08130630012602,79.08130630012602,80.08100850041956,80.07319920044392,81.0739707001485,81.06575810024515,None,1,None,2112891.233639,81.0739707001485,81.0739707001485,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[0, 0]",None,11,11,0,None,1,,,0,11,11,11,81.0739707001485,,,,,,,,,,,,,,81.06642160005867,81.08205630024895,81.08205630024895,81.08205630024895,82.08336410019547,82.07518830010667,83.07553530018777,83.06768020009622,None,1,None,2112893.2257373,83.07553530018777,83.07553530018777,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[0.2, -0.2]",None,12,12,0,None,1,,,0,12,12,12,83.07553530018777,,,,,,,,,,,,,,83.06862070038915,83.08375560026616,83.08375560026616,83.08375560026616,84.08490530028939,84.07646970031783,85.07733160024509,85.06908910023049,None,1,None,2112895.227946,85.07733160024509,85.07733160024509,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[-0.2, -0.2]",None,13,13,0,None,1,,,0,13,13,13,85.07733160024509,,,,,,,,,,,,,,85.06976920040324,85.08540700003505,85.08540700003505,85.08540700003505,86.08619250031188,86.0782434004359,87.07892780005932,87.07106510037556,None,1,None,2112897.2291032,87.07892780005932,87.07892780005932,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[0.2, -0.2]",space,14,14,0,space,1,0.3630111999809742,0.1459732996299863,0,14,14,14,87.07892780005932,,,,,,,,,,,,,,87.07172530004755,87.08721140027046,87.08721140027046,87.08721140027046,88.08821600023657,88.0796122001484,89.0805361000821,89.07264110026881,space,1,None,2112899.2310597,89.0805361000821,89.0805361000821,0.3630111999809742,0.1459732996299863,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[0, 0.2]",None,15,15,0,None,1,,,0,15,15,15,89.0805361000821,,,,,,,,,,,,,,89.07327950000763,89.0805361000821,89.0805361000821,89.0805361000821,90.08208720013499,90.07577020023018,91.07353110006079,91.0662997001782,None,1,None,2112901.2326035,91.07353110006079,91.07353110006079,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[0.2, 0.2]",None,16,16,0,None,1,,,0,16,16,16,91.07353110006079,,,,,,,,,,,,,,91.0668617002666,91.08193940017372,91.08193940017372,91.08193940017372,92.08251540036872,92.07475700043142,93.07547820033506,93.0673458003439,None,1,None,2112903.2261982,93.07547820033506,93.07547820033506,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[0, 0]",None,17,17,0,None,1,,,0,17,17,17,93.07547820033506,,,,,,,,,,,,,,93.06789490021765,93.08420330006629,93.08420330006629,93.08420330006629,94.08466290030628,94.0762897003442,95.07851310027763,95.06952280038968,None,1,None,2112905.2272448,95.07851310027763,95.07851310027763,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[0, -0.2]",None,18,18,0,None,1,,,0,18,18,18,95.07851310027763,,,,,,,,,,,,,,95.07025300012901,95.08877470018342,95.08877470018342,95.08877470018342,96.0856126002036,96.0856126002036,97.07926860032603,97.08000740036368,None,1,None,2112907.2295825,97.08807990001515,97.08807990001515,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[0.2, 0]",None,19,19,0,None,1,,,0,19,19,19,97.08807990001515,,,,,,,,,,,,,,97.0809245002456,97.08807990001515,97.08807990001515,97.08807990001515,98.08794830041006,98.07918900018558,99.08039330039173,99.07287920033559,None,1,None,2112909.2401964,99.08039330039173,99.08039330039173,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[0, -0.2]",space,20,20,0,space,1,0.5416053999215364,0.10704920021817088,0,20,20,20,99.08039330039173,,,,,,,,,,,,,,99.07340530026704,99.08039330039173,99.08039330039173,99.08039330039173,100.08112040022388,100.07228060020134,101.07378410035744,101.06627430021763,space,1,None,2112911.2327609,101.07378410035744,101.07378410035744,0.5416053999215364,0.10704920021817088,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[-0.2, 0.2]",None,21,21,0,None,1,,,0,21,21,21,101.07378410035744,,,,,,,,,,,,,,101.06696060020477,101.08159450022504,101.08159450022504,101.08159450022504,102.08251200011,102.07463840022683,103.07516240002587,103.06728429999202,None,1,None,2112913.2262807,103.07516240002587,103.07516240002587,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[0.2, -0.2]",None,22,22,0,None,1,,,0,22,22,22,103.07516240002587,,,,,,,,,,,,,,103.06786449998617,103.08340900018811,103.08340900018811,103.08340900018811,104.08399720024318,104.07562770042568,105.07649410003796,105.0689005004242,None,1,None,2112915.2271985,105.07649410003796,105.07649410003796,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[-0.2, 0.2]",space,23,23,0,None,0,,,0,23,23,23,105.07649410003796,,,,,,,,,,,,,,105.0695175002329,105.08481640042737,105.08481640042737,105.08481640042737,106.08542270027101,106.07798960013315,107.07873970037326,107.0722512002103,None,0,None,2112917.2288459,107.07873970037326,107.07873970037326,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[0, 0]",None,24,24,0,None,1,,,0,24,24,24,107.07873970037326,,,,,,,,,,,,,,107.07285660039634,107.08670680038631,107.08670680038631,107.08670680038631,108.08757260022685,108.07872230000794,109.08006800012663,109.07219210034236,None,1,None,2112919.2321946,109.08006800012663,109.08006800012663,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[0.2, 0.2]",None,25,25,0,None,1,,,0,25,25,25,109.08006800012663,,,,,,,,,,,,,,109.07264430029318,109.0875722002238,109.0875722002238,109.0875722002238,110.08121880004182,110.08121880004182,111.0763811999932,111.07708930037916,None,1,None,2112921.2320153,111.08463470032439,111.08463470032439,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[-0.2, -0.2]",None,26,26,0,None,1,,,0,26,26,26,111.08463470032439,,,,,,,,,,,,,,111.07777860015631,111.08463470032439,111.08463470032439,111.08463470032439,112.08255400042981,112.08255400042981,113.0754201002419,113.06760190008208,None,1,None,2112923.2371041,113.0754201002419,113.0754201002419,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[0.2, 0]",None,27,27,0,None,1,,,0,27,27,27,113.0754201002419,,,,,,,,,,,,,,113.06829870026559,113.08315329998732,113.08315329998732,113.08315329998732,114.08397300029173,114.07587560033426,115.07665750011802,115.06827690033242,None,1,None,2112925.2276193,115.07665750011802,115.07665750011802,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[0, 0.2]",None,28,28,0,None,1,,,0,28,28,28,115.07665750011802,,,,,,,,,,,,,,115.06883960030973,115.08465760014951,115.08465760014951,115.08465760014951,116.08566350024194,116.07776670018211,117.07971270009875,117.07012849999592,None,1,None,2112927.228192,117.07971270009875,117.07971270009875,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[0.2, 0]",space,29,29,0,None,0,,,0,29,29,29,117.07971270009875,,,,,,,,,,,,,,117.0708551001735,117.08692470006645,117.08692470006645,117.08692470006645,118.08733100024983,118.07900090003386,119.07944510038942,119.0725945001468,None,0,None,2112929.2301925,119.07944510038942,119.07944510038942,,,004,001,2026-07-07_11h17.57.257,untitled,,2026.1.3,120.62187822866083,2026-07-07 11h17.57.639913 -0700,
"[-0.2, -0.2]",None,30,30,0,,,,,0,30,30,30,119.07944510038942,,,,,,,,,,,,,,119.07338830037042,119.08843400003389,119.08843400003389,119.08843400003389,,,,,,,,,,,,,,,,,,,,,
