location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials.response_2.keys,trials.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"[0, -0.2]",space,8,8,0,None,0,0,8,8,8,75.68342110002413,,,,,,,,,,,,,,75.67566090030596,75.6917334003374,75.6917334003374,75.6917334003374,76.69314280012622,76.68419630033895,77.68607249995694,77.6765867001377,None,0,None,2392878.8989191,77.68607249995694,77.68607249995694,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[0.2, 0.2]",space,9,9,0,None,0,0,9,9,9,77.68607249995694,,,,,,,,,,,,,,77.67694059992209,77.6929369000718,77.6929369000718,77.6929369000718,78.68576160026714,78.68576160026714,79.67875079996884,79.67910630023107,None,0,None,2392880.9001959,79.68696610024199,79.68696610024199,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[0.2, 0]",None,10,10,0,None,1,0,10,10,10,79.68696610024199,,,,,,,,,,,,,,79.67950220033526,79.68696610024199,79.68696610024199,79.68696610024199,80.68742799991742,80.67944189999253,81.67954930011183,81.67391340015456,None,1,None,2392882.9027428,81.67954930011183,81.67954930011183,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[0, 0]",None,11,11,0,None,1,0,11,11,11,81.67954930011183,,,,,,,,,,,,,,81.67422780022025,81.68828770006076,81.68828770006076,81.68828770006076,82.68872829992324,82.68170970026404,83.68141360022128,83.6740732002072,None,1,None,2392884.8974848,83.68141360022128,83.68141360022128,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[0.2, -0.2]",None,12,12,0,None,1,0,12,12,12,83.68141360022128,,,,,,,,,,,,,,83.67441279999912,83.68995690019801,83.68995690019801,83.68995690019801,84.6912879999727,84.6823936002329,85.6838424000889,85.67504090024158,None,1,None,2392886.8976592,85.6838424000889,85.6838424000889,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[-0.2, -0.2]",None,13,13,0,None,1,0,13,13,13,85.6838424000889,,,,,,,,,,,,,,85.67541970033199,85.69200489996001,85.69200489996001,85.69200489996001,86.69236120022833,86.68385070003569,87.68458840018138,87.67666340013966,None,1,None,2392888.8986588,87.68458840018138,87.68458840018138,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[0.2, -0.2]",space,14,14,0,None,0,0,14,14,14,87.68458840018138,,,,,,,,,,,,,,87.67714920034632,87.69310860009864,87.69310860009864,87.69310860009864,88.69449110003188,88.68555740034208,89.68640730017796,89.67898280033842,None,0,1.0,2392890.9003633,89.68640730017796,89.68640730017796,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[0, 0.2]",None,15,15,0,None,1,0,15,15,15,89.68640730017796,,,,,,,,,,,,,,89.67937309993431,89.68640730017796,89.68640730017796,89.68640730017796,90.68715720018372,90.67885809997097,91.67967420024797,91.67160690017045,None,1,None,2392892.9026224,91.67967420024797,91.67967420024797,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[0.2, 0.2]",None,16,16,0,None,1,0,16,16,16,91.67967420024797,,,,,,,,,,,,,,91.6719861002639,91.68789600022137,91.68789600022137,91.68789600022137,92.68871260015294,92.68049240019172,93.68142740009353,93.6730916001834,None,1,None,2392894.8952265,93.68142740009353,93.68142740009353,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[0, 0]",None,17,17,0,None,1,0,17,17,17,93.68142740009353,,,,,,,,,,,,,,93.6733904001303,93.68992680031806,93.68992680031806,93.68992680031806,94.69044020026922,94.68237280007452,95.68260460020974,95.67475760029629,None,1,0.0,2392896.8966506,95.68260460020974,95.68260460020974,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[0, -0.2]",None,18,18,0,None,1,0,18,18,18,95.68260460020974,,,,,,,,,,,,,,95.67514500021935,95.69151670020074,95.69151670020074,95.69151670020074,96.69262440036982,96.68353490019217,97.68441760027781,97.67666350025684,None,1,None,2392898.8983877,97.68441760027781,97.68441760027781,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[0.2, 0]",None,19,19,0,None,1,0,19,19,19,97.68441760027781,,,,,,,,,,,,,,97.67718930030242,97.69288150034845,97.69288150034845,97.69288150034845,98.69352560024709,98.68533160025254,99.68627020018175,99.67799580004066,None,1,None,2392900.9003852,99.68627020018175,99.68627020018175,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[0, -0.2]",space,20,20,0,None,0,0,20,20,20,99.68627020018175,,,,,,,,,,,,,,99.67830640031025,99.69439500011504,99.69439500011504,99.69439500011504,100.68650690000504,100.68650690000504,101.67992740031332,101.68021030025557,None,0,None,2392902.9015653,101.6872463002801,101.6872463002801,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[-0.2, 0.2]",None,21,21,0,None,1,0,21,21,21,101.6872463002801,,,,,,,,,,,,,,101.68051390023902,101.6872463002801,101.6872463002801,101.6872463002801,102.68817199999467,102.68014310020953,103.68101870035753,103.67257130006328,None,1,None,2392904.9037743,103.68101870035753,103.68101870035753,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[0.2, -0.2]",None,22,22,0,None,1,0,22,22,22,103.68101870035753,,,,,,,,,,,,,,103.67292580008507,103.68900310015306,103.68900310015306,103.68900310015306,104.68964709993452,104.68216800037771,105.68316429993138,105.67490860028192,None,1,1.0,2392906.8961785,105.68316429993138,105.68316429993138,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[-0.2, 0.2]",space,23,23,0,None,0,0,23,23,23,105.68316429993138,,,,,,,,,,,,,,105.67523400019854,105.69067140016705,105.69067140016705,105.69067140016705,106.69226780021563,106.68391490029171,107.68484500003979,107.67653420008719,None,0,None,2392908.8984863,107.68484500003979,107.68484500003979,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[0, 0]",None,24,24,0,None,1,0,24,24,24,107.68484500003979,,,,,,,,,,,,,,107.67689500004053,107.69230889994651,107.69230889994651,107.69230889994651,108.69404180021957,108.68500309996307,109.685491300188,109.67919660033658,None,1,0.0,2392910.9001217,109.685491300188,109.685491300188,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[0.2, 0.2]",None,25,25,0,None,1,0,25,25,25,109.685491300188,,,,,,,,,,,,,,109.67964729992673,109.685491300188,109.685491300188,109.685491300188,110.69647089997306,110.68590670032427,111.68732420029119,111.6793738999404,None,1,None,2392912.9028865,111.6790053001605,111.6790053001605,no_run,001,2026-07-10_17h03.57.084,untitled,,2026.1.3,119.31323302392978,2026-07-10 17h03.57.329021 -0700,
"[-0.2, -0.2]",None,26,26,0,,,0,26,26,26,111.68732420029119,,,,,,,,,,,,,,111.67987579992041,111.68732420029119,111.68732420029119,111.68732420029119,,,,,,,,,,,,,,,,,,,
