location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials.response_2.keys,trials.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"[0, 0]",None,17,17,0,None,1,0,17,17,17,51.482572000008076,,,,,,,,,,,,,51.47462169965729,51.482572000008076,51.482572000008076,51.482572000008076,52.483179399743676,52.47502140002325,53.47636749967933,53.467200899962336,None,1,None,2123817.9284625,53.47636749967933,53.47636749967933,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0, -0.2]",None,18,18,0,None,1,0,18,18,18,53.47636749967933,,,,,,,,,,,,,53.46768569992855,53.484062399715185,53.484062399715185,53.484062399715185,54.48569149989635,54.47719209967181,55.47754279989749,55.46961049968377,None,1,0.0,2123819.9215659,55.47754279989749,55.47754279989749,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0.2, 0]",None,19,19,0,None,1,0,19,19,19,55.47754279989749,,,,,,,,,,,,,55.470261899754405,55.486072099767625,55.486072099767625,55.486072099767625,56.48041169997305,56.48041169997305,57.47060609981418,57.47118619969115,None,1,None,2123821.924127,57.479774499777704,57.479774499777704,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0, -0.2]",space,20,20,0,None,0,0,20,20,20,57.479774499777704,,,,,,,,,,,,,57.47187040001154,57.48747539985925,57.48747539985925,57.48747539985925,58.479705199599266,58.479705199599266,59.4765432998538,59.4771320996806,None,0,None,2123823.9257191,59.486538199707866,59.486538199707866,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[-0.2, 0.2]",None,21,21,0,None,1,0,21,21,21,59.486538199707866,,,,,,,,,,,,,59.47779019968584,59.486538199707866,59.486538199707866,59.486538199707866,60.48529729992151,60.48529729992151,61.48326119966805,61.4751680996269,None,1,None,2123825.931647,61.48326119966805,61.48326119966805,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0.2, -0.2]",None,22,22,0,None,1,0,22,22,22,61.48326119966805,,,,,,,,,,,,,61.475994899868965,61.48326119966805,61.48326119966805,61.48326119966805,62.489028399810195,62.47741709975526,63.487708299886435,63.47867519967258,None,1,None,2123827.9297842,63.478257899638265,63.478257899638265,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[-0.2, 0.2]",space,23,23,0,None,0,0,23,23,23,63.487708299886435,,,,,,,,,,,,,63.479349999688566,63.487708299886435,63.487708299886435,63.487708299886435,64.48227579984814,64.48227579984814,65.48777879960835,65.47407069988549,None,0,None,2123829.9331945,65.48777879960835,65.48777879960835,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0, 0]",None,24,24,0,None,1,0,24,24,24,65.48777879960835,,,,,,,,,,,,,65.47672819998115,65.48777879960835,65.48777879960835,65.48777879960835,66.48521619988605,66.48521619988605,67.48861999996006,67.47127299988642,None,1,None,2123831.930508,67.48861999996006,67.48861999996006,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0.2, 0.2]",None,25,25,0,None,1,0,25,25,25,67.48861999996006,,,,,,,,,,,,,67.47276799986139,67.50635619973764,67.50635619973764,67.50635619973764,68.4908049996011,68.49868399975821,69.48226749990135,69.49187729973346,None,1,1.0,2123833.9261107,,,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[-0.2, -0.2]",None,26,26,0,None,1,0,26,26,26,69.50204479973763,,,,,,,,,,,,,69.49283549981192,69.50204479973763,69.50204479973763,69.50204479973763,70.48484759964049,70.49318229965866,71.49380769999698,71.49488819995895,None,1,None,2123835.9466477,,,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0.2, 0]",None,27,27,0,None,1,0,27,27,27,71.51041139988229,,,,,,,,,,,,,71.49585979990661,71.51041139988229,71.51041139988229,71.51041139988229,72.48280579969287,72.50092569971457,73.47668459964916,73.49386229971424,None,1,None,2123837.9496725,,,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0, 0.2]",None,28,28,0,None,1,0,28,28,28,73.5111393998377,,,,,,,,,,,,,73.49635819997638,73.5111393998377,73.5111393998377,73.5111393998377,74.48107909969985,74.5037361998111,75.47887479979545,75.49574150005355,None,1,0.0,2123839.9496153,,,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0.2, 0]",space,29,29,0,None,0,0,29,29,29,75.50658569997177,,,,,,,,,,,,,75.49681819975376,75.50658569997177,75.50658569997177,75.50658569997177,76.48644409980625,76.50740819983184,77.47838500002399,77.49678190005943,None,0,None,2123841.9506452,,,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[-0.2, -0.2]",None,30,30,0,None,1,0,30,30,30,77.50373640004545,,,,,,,,,,,,,77.49786539981142,77.50373640004545,77.50373640004545,77.50373640004545,78.47961089992896,78.49645099975169,79.47806929983199,79.48759189993143,None,1,None,2123843.9516838,79.49711330002174,79.49711330002174,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0, -0.2]",None,31,31,0,None,1,0,31,31,31,79.49711330002174,,,,,,,,,,,,,79.48851559963077,79.49711330002174,79.49711330002174,79.49711330002174,80.48393069999292,80.49222509982064,81.48170629981905,81.48236429970711,None,1,None,2123845.9423505,81.49096279963851,81.49096279963851,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0, 0.2]",None,32,32,0,None,1,0,32,32,32,81.49096279963851,,,,,,,,,,,,,81.48317019967362,81.49096279963851,81.49096279963851,81.49096279963851,82.48503929981962,82.48503929981962,83.47749259974808,83.47799309995025,None,1,None,2123847.9370246,83.48513229982927,83.48513229982927,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0.2, 0.2]",None,33,33,0,None,1,0,33,33,33,83.48513229982927,,,,,,,,,,,,,83.47866259980947,83.48513229982927,83.48513229982927,83.48513229982927,84.48486849991605,84.48486849991605,85.48484379984438,85.4773796997033,None,1,None,2123849.9325405,85.48484379984438,85.48484379984438,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0, 0]",None,34,34,0,None,1,0,34,34,34,85.48484379984438,,,,,,,,,,,,,85.47793289972469,85.48484379984438,85.48484379984438,85.48484379984438,86.4867973998189,86.47901059966534,87.47892089979723,87.47096259985119,None,1,None,2123851.9318111,87.47892089979723,87.47892089979723,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
"[0.2, -0.2]",None,35,35,0,None,1,0,35,35,35,87.47892089979723,,,,,,,,,,,,,87.47165439976379,87.48905389988795,87.48905389988795,87.48905389988795,88.48774420004338,88.48774420004338,89.4803297999315,89.4723563999869,None,1,None,2123853.9254906,89.4803297999315,89.4803297999315,005,001,2026-07-07_14h20.28.765,untitled,,2026.1.3,119.04960317790298,2026-07-07 14h20.29.156420 -0700,
