location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials.response_2.keys,trials.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"[0.2, -0.2]",None,22,22,0,None,1,0,22,22,22,59.813489200081676,,,,,,,,,,,,,,59.806183400098234,59.82156260032207,59.82156260032207,59.82156260032207,60.822767100296915,60.813489800319076,61.81337970029563,61.80551700014621,None,1,None,2562984.9181423,61.81337970029563,61.81337970029563,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[-0.2, 0.2]",space,23,23,0,None,0,0,23,23,23,61.81337970029563,,,,,,,,,,,,,,61.806016200222075,61.82209390029311,61.82209390029311,61.82209390029311,62.821996700018644,62.813403700012714,63.813445900101215,63.80568760028109,None,0,None,2562986.9179722,63.813445900101215,63.813445900101215,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0, 0]",None,24,24,0,None,1,0,24,24,24,63.813445900101215,,,,,,,,,,,,,,63.80623570038006,63.8221089001745,63.8221089001745,63.8221089001745,64.81359070027247,64.81359070027247,65.80549990013242,65.80583650013432,None,1,None,2562988.9181894,65.81329680001363,65.81329680001363,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0.2, 0.2]",None,25,25,0,None,1,0,25,25,25,65.81329680001363,,,,,,,,,,,,,,65.80655440036207,65.81329680001363,65.81329680001363,65.81329680001363,66.81344090029597,66.80552620021626,67.80554740037769,67.7973064002581,None,1,None,2562990.9185016,67.80554740037769,67.80554740037769,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[-0.2, -0.2]",None,26,26,0,None,1,0,26,26,26,67.80554740037769,,,,,,,,,,,,,,67.79793080035597,67.81348850019276,67.81348850019276,67.81348850019276,68.81352710025385,68.80577780026942,69.8056045002304,69.79734789999202,None,1,None,2562992.909875,69.8056045002304,69.8056045002304,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0.2, 0]",None,27,27,0,None,1,0,27,27,27,69.8056045002304,,,,,,,,,,,,,,69.79793770005926,69.81362110003829,69.81362110003829,69.81362110003829,70.81375860003754,70.80545640038326,71.80563540011644,71.79732970008627,None,1,None,2562994.9098859,71.80563540011644,71.80563540011644,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0, 0.2]",None,28,28,0,None,1,0,28,28,28,71.80563540011644,,,,,,,,,,,,,,71.7978883003816,71.81359170004725,71.81359170004725,71.81359170004725,72.81369330035523,72.8056231001392,73.80553310038522,73.79781550029293,None,1,None,2562996.9098351,73.80553310038522,73.80553310038522,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0.2, 0]",space,29,29,0,None,0,0,29,29,29,73.80553310038522,,,,,,,,,,,,,,73.7983651002869,73.81420850008726,73.81420850008726,73.81420850008726,74.81408660020679,74.80545060010627,75.80903400015086,75.800969700329,None,0,None,2562998.9103119,75.80903400015086,75.80903400015086,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[-0.2, -0.2]",None,30,30,0,None,1,0,30,30,30,75.80903400015086,,,,,,,,,,,,,,75.80164000019431,75.81682360032573,75.81682360032573,75.81682360032573,76.81667600013316,76.80848200013861,77.81322100013494,77.80510100023821,None,1,None,2563000.9135927,77.81322100013494,77.81322100013494,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0, -0.2]",None,31,31,0,None,1,0,31,31,31,77.81322100013494,,,,,,,,,,,,,,77.80559360003099,77.82151000015438,77.82151000015438,77.82151000015438,78.82149820029736,78.81310580018908,79.81317079998553,79.80511960014701,None,1,None,2563002.9175448,79.81317079998553,79.81317079998553,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
