Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07
72.816,-81887.8984375,85.33050537109375,7281.29541015625,3901.33203125,932.77801513671875,707.4189453125,-0.44333267211914062
72.82,-82932.3359375,75.425216674804688,5688.96337890625,4010.324951171875,958.85284423828125,707.4189453125,-0.38215270638465881
72.824,-84524.296875,64.19775390625,4121.3515625,4088.89013671875,977.6483154296875,707.4189453125,-0.16722914576530457
72.828,-83870.296875,51.877197265625,2691.24365234375,4139.83837890625,989.8369140625,707.4189453125,0.10557198524475098
72.832,-82009.0234375,38.714153289794922,1498.7857666015625,4167.9365234375,996.5589599609375,707.4189453125,0.31377309560775757
72.836,-82625.796875,24.974819183349609,623.7415771484375,4179.4560546875,999.3148193359375,999.3148193359375,0.39321964979171753
72.84,-84345.671875,10.934809684753418,119.57005310058594,4181.5859375,999.82440185546875,999.3148193359375,0.36230850219726562
72.844,-84123.609375,-3.1272697448730469,9.779815673828125,4181.7802734375,999.87091064453125,999.3148193359375,0.26908454298973083
72.848,-82226.546875,-16.936172485351562,286.83392333984375,4187.08740234375,1001.1405029296875,999.3148193359375,0.14769582450389862
72.852,-82334.609375,-30.226238250732422,913.62548828125,4203.52197265625,1005.0721435546875,999.3148193359375,0.030177503824234009
72.856,-84111.984375,-42.74725341796875,1827.3277587890625,4235.54052734375,1012.7321166992188,999.3148193359375,-0.035866610705852509
72.86,-84339.1484375,-54.269886016845703,2945.22021484375,4285.66943359375,1024.724609375,999.3148193359375,0.0049065523780882359
72.864,-82516.8515625,-64.590476989746094,4171.9296875,4354.31640625,1041.1474609375,999.3148193359375,0.17000377178192139
72.868,-82084.25,-73.535133361816406,5407.41650390625,4439.7841796875,1061.5943603515625,1110.7652587890625,0.39581102132797241
72.872,-83842.25,-80.963035583496094,6555.01318359375,4538.48291015625,1085.2064208984375,1110.7652587890625,0.5644109845161438
72.876,-84493.421875,-86.768798828125,7528.82421875,4645.31884765625,1110.7652587890625,1110.7652587890625,0.57074719667434692
72.88,-82849.7109375,-90.88409423828125,8259.9189453125,4754.22900390625,1136.8203125,1110.7652587890625,0.38289898633956909
72.884,-81911.2109375,-93.278114318847656,8700.8076171875,4858.79443359375,1161.8359375,1110.7652587890625,0.072208762168884277
72.888,-83549.3984375,-93.957275390625,8827.96875,4952.88427734375,1184.345458984375,1110.7652587890625,-0.21149544417858124
72.892,-84579.421875,-92.964035034179688,8642.310546875,5031.25634765625,1203.0947265625,1110.7652587890625,-0.31703844666481018
72.896,-83195.859375,-90.37469482421875,8167.5849609375,5090.0625,1217.1630859375,1110.7652587890625,-0.20245309174060822
72.9,-81818.4375,-86.296714782714844,7447.12353515625,5127.20458984375,1226.048828125,1110.7652587890625,0.014473599381744862
72.904,-83238.6640625,-80.865074157714844,6539.16015625,5142.4990234375,1229.707763671875,1110.7652587890625,0.16436442732810974
72.908,-84585.359375,-74.238365173339844,5511.3349609375,5137.64990234375,1228.547607421875,1110.7652587890625,0.18851578235626221
72.912,-83529.7890625,-66.594161987304688,4434.78271484375,5116.01806640625,1223.3726806640625,1110.7652587890625,0.1564304381608963
72.916,-81840.296875,-58.124248504638672,3378.428466796875,5082.22265625,1215.2877197265625,1215.2877197265625,0.1503642350435257
72.92,-82927.2890625,-49.029563903808594,2403.89794921875,5041.60791015625,1205.5712890625,1215.2877197265625,0.1886565238237381
72.924,-84514.6484375,-39.515220642089844,1561.4527587890625,4999.63671875,1195.5302734375,1215.2877197265625,0.25046873092651367
72.928,-83839.75,-29.785533905029297,887.17803955078125,4961.28125,1186.354248046875,1215.2877197265625,0.32350292801856995
72.932,-81981.609375,-20.039342880249023,401.57528686523438,4930.44775390625,1178.9779052734375,1215.2877197265625,0.39916381239891052
72.936,-82638.6484375,-10.465660095214844,109.53005218505859,4909.52880859375,1173.973388671875,1215.2877197265625,0.44273519515991211
72.94,-84362.125,-1.2397629022598267,1.5370121002197266,4899.10791015625,1171.480224609375,1215.2877197265625,0.4072878360748291
72.944,-84114.1640625,7.4801926612854004,55.953277587890625,4897.8583984375,1171.181396484375,1215.2877197265625,0.27887600660324097
72.948,-82219.671875,15.555956840515137,241.98779296875,4902.63916015625,1172.324951171875,1215.2877197265625,0.10013251006603241
72.952,-82361.484375,22.871364593505859,523.09930419921875,4908.78662109375,1173.795654296875,1215.2877197265625,-0.043608509004116058
72.956,-84138.109375,29.3338623046875,860.4754638671875,4910.56884765625,1174.2222900390625,1174.2222900390625,-0.080085791647434235
72.96,-84334.1484375,34.8753662109375,1216.291015625,4901.76708984375,1172.1165771484375,1174.2222900390625,-0.010743441991508007
72.964,-82516.6640625,39.452526092529297,1556.501708984375,4876.3046875,1166.0250244140625,1174.2222900390625,0.1053764671087265
72.968,-82108.859375,43.046287536621094,1852.9830322265625,4828.8974609375,1154.68359375,1174.2222900390625,0.223082035779953
72.972,-83871.171875,45.660972595214844,2084.924560546875,4755.6162109375,1137.152099609375,1174.2222900390625,0.32064303755760193
72.976,-84488.0859375,47.322715759277344,2239.439453125,4654.34521484375,1112.924560546875,1174.2222900390625,0.35637354850769043
72.98,-82845.875,48.077472686767578,2311.443359375,4525.06787109375,1081.9970703125,1174.2222900390625,0.28818982839584351
72.984,-81929.875,47.988628387451172,2302.908203125,4369.9599609375,1044.8900146484375,1174.2222900390625,0.13605387508869171
72.988,-83566.8984375,47.134197235107422,2221.63232421875,4193.28125,1002.6222534179688,1174.2222900390625,-0.027402764186263084
72.992,-84580.5234375,45.603851318359375,2079.7109375,4001.057861328125,956.6357421875,908.68341064453125,-0.14686162769794464
72.996,-83195,43.495719909667969,1891.877685546875,3800.61669921875,908.68341064453125,908.68341064453125,-0.20258839428424835
73,-81831.296875,40.913139343261719,1673.8851318359375,3599.985107421875,860.6854248046875,908.68341064453125,-0.17935797572135925
73.004,-83252.046875,37.961456298828125,1441.072021484375,3407.227783203125,814.5711669921875,908.68341064453125,-0.080614671111106873
