EEG_time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08,timestamp_rel,LIFU_LSL_time,marker,LSL_time,theta_z,LSL_time_rel
2.592,4794.44384765625,3495.107421875,8135.8896484375,4172.4833984375,1455.6988525390625,5060.0390625,5960.98046875,7398.24462890625,,,,991854.2233137,3.95939079284668,2.5587022999534383
2.596,4628.2216796875,3395.529296875,7895.921875,3962.44873046875,1365.5257568359375,4905.6279296875,5774.0966796875,7062.53271484375,,,,991854.2233137,3.95939079284668,2.5587022999534383
2.6,4491.39453125,3312.846435546875,7700.1083984375,3797.17919921875,1283.5966796875,4781.9326171875,5637.20458984375,6788.24755859375,,,,991854.2233137,3.95939079284668,2.5587022999534383
2.604,4384.85302734375,3247.971923828125,7550.30078125,3675.667236328125,1211.9202880859375,4689.17822265625,5548.56396484375,6577.20849609375,,,,991854.2233137,3.95939079284668,2.5587022999534383
2.608,4307.99072265625,3200.796142578125,7445.26416015625,3594.600341796875,1151.9232177734375,4625.95458984375,5504.2021484375,6428.32421875,,,,991854.2233137,3.95939079284668,2.5587022999534383
2.612,4258.62646484375,3170.079345703125,7380.5234375,3548.552001953125,1104.3310546875,4589.1708984375,5498.04150390625,6337.56640625,,,,991854.2233137,3.95939079284668,2.5587022999534383
2.616,4233.0224609375,3153.430419921875,7348.46240234375,3530.307373046875,1069.099609375,4574.12890625,5522.14599609375,6298.1162109375,,,,991854.2233137,3.95939079284668,2.5587022999534383
2.62,4226.0224609375,3147.3828125,7338.69921875,3531.32421875,1045.405029296875,4574.7109375,5567.0849609375,6300.67333984375,,,,991854.2233137,3.95939079284668,2.5587022999534383
2.624,4231.28759765625,3147.55859375,7338.71337890625,3542.282470703125,1031.6937255859375,4583.68505859375,5622.40771484375,6333.91650390625,,,,991854.2233137,3.95939079284668,2.5587022999534383
2.628,4241.6318359375,3148.921875,7334.68603515625,3553.684326171875,1025.788818359375,4593.1123046875,5677.1796875,6385.109375,,,,991854.2233137,3.95939079284668,2.5587022999534383
2.632,4249.43359375,3146.09765625,7312.48291015625,3556.46630859375,1025.049560546875,4594.8193359375,5720.5771484375,6440.7880859375,,,,991854.2233137,3.95939079284668,2.5587022999534383
2.636,4247.1005859375,3133.740966796875,7258.70849609375,3542.567138671875,1026.564208984375,4580.9169921875,5742.47021484375,6487.5068359375,,,,991854.2233137,3.95939079284668,2.5587022999534383
2.64,4227.54443359375,3106.91552734375,7161.73583984375,3505.41552734375,1027.3656005859375,4544.31396484375,5733.98583984375,6512.59130859375,,,,991854.2233137,3.95939079284668,2.5587022999534383
2.644,4184.6396484375,3061.466064453125,7012.61962890625,3440.303466796875,1024.649169921875,4479.1904296875,5687.99853515625,6504.84375,,,,991854.2233137,3.95939079284668,2.5587022999534383
2.648,4113.6240234375,2994.32958984375,6805.83447265625,3344.614013671875,1015.9738159179688,4381.4013671875,5599.52490234375,6455.17333984375,,,,991854.2233137,3.95939079284668,2.5587022999534383
2.652,4011.408203125,2903.779296875,6539.75,3217.901123046875,999.4260864257811,4248.75634765625,5465.99755859375,6357.078125,,,,991854.2233137,3.95939079284668,2.5587022999534383
2.656,3876.77685546875,2789.567626953125,6216.81103515625,3061.810546875,973.7394409179688,4081.174560546875,5287.38818359375,6206.98974609375,,,,991854.2233137,3.95939079284668,2.5587022999534383
2.66,3710.46484375,2652.96435546875,5843.3701171875,2879.865234375,938.3621215820312,3880.702392578125,5066.17333984375,6004.40625,,,,,,
2.664,3515.110107421875,2496.68701171875,5429.2451171875,2677.126953125,893.46728515625,3651.377685546875,4807.15380859375,5751.85302734375,,,,,,
2.668,3295.06591796875,2324.718017578125,4987.00146484375,2459.776123046875,839.90771484375,3398.960205078125,4517.14599609375,5454.65771484375,,,,,,
2.672,3056.114013671875,2142.03076171875,4531.0302734375,2234.64404296875,779.1203002929686,3130.546875,4204.55859375,5120.56005859375,,,,,,
2.676,2805.07958984375,1954.250732421875,4076.498046875,2008.7366943359373,712.9953002929688,2854.110107421875,3878.885986328125,4759.19384765625,,,,,,
2.68,2549.396484375,1767.2728271484375,3638.248779296875,1788.7841796875,643.7190551757812,2577.979736328125,3550.14599609375,4381.4716796875,,,,,,
