Time,Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,window_id
1693294.2094246,112418.0625,199999.96875,199999.96875,199999.96875,399.7802734375,112496.0859375,199999.96875,-9.329086303710938,87.03184509277344,23.023265838623047,4.952934265136719,3.373311281204224,0.1061794012784957,0
1693294.2102388,113506.296875,199999.96875,199999.96875,199999.96875,403.6427307128906,113254.046875,199999.96875,-8.993368148803711,80.88066101074219,24.6058349609375,5.331539154052734,3.373311281204224,0.2292306870222091,0
1693294.2132713,113409.859375,199999.96875,199999.96875,199999.96875,243.1631317138672,113226.6484375,199999.96875,-8.465298652648926,71.6612777709961,25.932287216186523,5.648872375488281,3.373311281204224,0.2893904745578766,0
1693294.219777,112103.609375,199999.96875,199999.96875,199999.96875,217.7000274658203,112244.25,199999.96875,-7.753729820251465,60.12032318115234,26.93364906311035,5.88843297958374,3.373311281204224,0.3033144474029541,0
1693294.22705,111806.0234375,199999.96875,199999.96875,199999.96875,381.8750915527344,111925.609375,199999.96875,-6.872019767761231,47.22465896606445,27.57477378845215,6.041811943054199,3.373311281204224,0.2754973769187927,0
1693294.2299884,112857.5390625,199999.96875,199999.96875,199999.96875,402.5221252441406,112623.359375,199999.96875,-5.837429046630859,34.07558059692383,27.85540771484375,6.108949184417725,3.373311281204224,0.2002135068178177,0
1693294.2307982,113078.9609375,199999.96875,199999.96875,199999.96875,268.1732482910156,112826.609375,199999.96875,-4.670519828796387,21.813756942749023,27.80864906311035,6.0977630615234375,6.0977630615234375,0.0977637022733688,0
1693294.2350788,111827.0,199999.96875,199999.96875,199999.96875,242.35250854492188,111929.75,199999.96875,-3.394559860229492,11.523037910461426,27.496990203857425,6.023203372955322,6.0977630615234375,0.0109725873917341,0
1693294.2388234,111229.5,199999.96875,199999.96875,199999.96875,357.15106201171875,111380.4375,199999.96875,-2.034954786300659,4.141040802001953,27.006404876708984,5.9058380126953125,6.0977630615234375,-0.0523886010050773,0
1693294.2398446,112172.7890625,199999.96875,199999.96875,199999.96875,412.84564208984375,112010.2734375,199999.96875,-0.6186765432357788,0.3827606737613678,26.438888549804688,5.770069122314453,6.0977630615234375,-0.115031287074089,0
1693294.241485,112674.5390625,199999.96875,199999.96875,199999.96875,294.8761291503906,112452.625,199999.96875,0.8263400793075562,0.6828378438949585,25.904033660888672,5.642114162445068,6.0977630615234375,-0.1691031455993652,0
1693294.2506919,111576.2109375,199999.96875,199999.96875,199999.96875,217.2231903076172,111629.9765625,199999.96875,2.2718098163604736,5.1611199378967285,25.510278701782227,5.547914028167725,6.0977630615234375,-0.1997311860322952,0
1693294.2585316,110719.046875,199999.96875,199999.96875,199999.96875,324.9884338378906,110879.8359375,199999.96875,3.689678907394409,13.613729476928713,25.356420516967773,5.511106014251709,6.0977630615234375,-0.2264855355024337,0
1693294.2596112,111498.1875,199999.96875,199999.96875,199999.96875,406.8374938964844,111375.4375,199999.96875,5.052670955657959,25.52948570251465,25.52406883239746,5.551212310791016,6.0977630615234375,-0.2468196600675583,0
1693294.2601242,112291.9375,199999.96875,199999.96875,199999.96875,317.47821044921875,111953.9375,199999.96875,6.334810733795166,40.12982177734375,26.07146644592285,5.682169437408447,6.0977630615234375,-0.2051868885755539,0
