Time,Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13
2017125.2121699,43810.0859375,-5.529276371002197,30.57289695739746,8.737218856811523,1.5352199077606201,6.771724700927734,-28.4031925201416,28711.869140625,-1104.664794921875,20105.912109375,24946.431640625,28450.994140625,37405.25
2017125.2138144,44605.7109375,-5.5666303634643555,30.987375259399414,9.23022174835205,1.6531633138656616,6.771724700927734,-71.1491928100586,28391.650390625,-701.5228271484375,19859.005859375,24988.630859375,28332.49609375,37702.75
2017125.2160487,44932.48828125,-5.5027642250061035,30.28041648864746,9.714756965637207,1.7690807580947876,6.771724700927734,-86.18888854980469,28058.603515625,-509.11907958984375,19840.244140625,25082.900390625,28327.181640625,37950.63671875
2017125.2168317,44152.6171875,-5.337332248687744,28.48711585998535,10.172338485717773,1.8785499334335327,6.771724700927734,-52.59575271606445,28508.140625,-845.2415771484375,20186.521484375,25109.009765625,28559.568359375,37735.48828125
2017125.2234612,43647.98828125,-5.072264671325684,25.727869033813477,10.586453437805176,1.9776204824447632,6.771724700927734,-18.26996421813965,28667.30859375,-1211.3333740234375,20058.134765625,24871.041015625,28410.078125,37321.7109375
2017125.2349146,44428.54296875,-4.711850643157959,22.201534271240234,10.943954467773438,2.0631473064422607,8.12933349609375,-31.776351928710938,28475.787109375,-793.9339599609375,19909.0,24967.265625,28351.619140625,37615.0625
2017125.2363864,45023.9921875,-4.2627081871032715,18.17068099975586,11.236190795898438,2.1330599784851074,8.12933349609375,-74.36727142333984,28078.34375,-458.33587646484375,19797.015625,25093.962890625,28328.494140625,37983.01953125
2017125.2413046,44247.25,-3.733638048171997,13.94005298614502,11.459742546081543,2.1865413188934326,8.12933349609375,-89.38920593261719,28340.103515625,-838.9235229492188,20073.4375,25047.63671875,28458.5,37719.5859375
2017125.2439426,43702.3671875,-3.1354262828826904,9.830899238586426,11.616665840148926,2.2240824699401855,8.12933349609375,-55.876121520996094,28801.96875,-1112.604248046875,20227.744140625,25018.859375,28565.837890625,37447.38671875
2017125.2491733,44202.1171875,-2.4806265830993652,6.15350866317749,11.71424674987793,2.2474277019500732,8.12933349609375,-21.651851654052734,28486.900390625,-944.3522338867188,19880.916015625,24894.8125,28311.77734375,37486.29296875
