Time, Ch01, Ch02, Ch03, Ch04, Ch05
15.724,-33129.26953125,0.70509737730026245,0.49716228246688843,2.2615771293640137,2.5185337066650391
15.728,-32848.57421875,0.58722102642059326,0.34482854604721069,2.125373363494873,2.5185337066650391
15.732,-32405.94921875,0.4670964777469635,0.21817910671234131,1.9920072555541992,2.5185337066650391
15.736,-32390.287109375,0.34879422187805176,0.12165740877389908,1.8672548532485962,2.5185337066650391
15.74,-33038.09375,0.23622632026672363,0.055802874267101288,1.7560886144638062,2.5185337066650391
15.744,-32935.55078125,0.13287994265556335,0.017657080665230751,1.6622579097747803,2.5185337066650391
15.748,-32464.671875,0.041900020092725754,0.0017556117381900549,1.5879676342010498,2.5185337066650391
15.752,-32352.521484375,-0.033874619752168655,0.0011474897619336843,1.533687949180603,1.4981458187103271
15.756,-32914.23828125,-0.092192649841308594,0.0084994854405522346,1.4981458187103271,1.4981458187103271
15.76,-33032.0625,-0.13154911994934082,0.017305171117186546,1.4784895181655884,1.4981458187103271
15.764,-32534.79296875,-0.1510823518037796,0.022825876250863075,1.4705833196640015,1.4981458187103271
15.768,-32335.021484375,-0.15062220394611359,0.022687047719955444,1.4694252014160156,1.4981458187103271
15.772,-32758.546875,-0.13082170486450195,0.017114320769906044,1.4696391820907593,1.4981458187103271
15.776,-33126.28125,-0.093002893030643463,0.0086495382711291313,1.4659843444824219,1.4981458187103271
15.78,-32622.318359375,-0.039037317037582397,0.0015239119529724121,1.4538367986679077,1.4981458187103271
15.784,-32325.74609375,0.028446173295378685,0.00080918474122881889,1.4295892715454102,1.4981458187103271
15.788,-32616.380859375,0.10608772188425064,0.011254605837166309,1.3909250497817993,1.4981458187103271
15.792,-33192.51953125,0.19022481143474579,0.036185484379529953,1.3369585275650024,1.4981458187103271
15.796,-32693.962890625,0.27702516317367554,0.076742932200431824,1.2682492733001709,1.2682492733001709
15.8,-32335.427734375,0.36233371496200562,0.13128574192523956,1.1866645812988281,1.2682492733001709
15.804,-32515.337890625,0.44189873337745667,0.1952744722366333,1.0951181650161743,1.2682492733001709
15.808,-33179.48046875,0.51177215576171875,0.26191076636314392,0.99725139141082764,1.2682492733001709
15.812,-32769.23046875,0.5683821439743042,0.32305827736854553,0.89707499742507935,1.2682492733001709
15.816,-32361.60546875,0.60859000682830811,0.37038177251815796,0.79859048128128052,1.2682492733001709
15.82,-32442.546875,0.62996280193328857,0.39685311913490295,0.70546138286590576,1.2682492733001709
15.824,-33132.8125,0.63080871105194092,0.39791959524154663,0.62074834108352661,1.2682492733001709
15.828,-32853.51171875,0.6099732518196106,0.37206736207008362,0.54670512676239014,0.43510428071022034
15.832,-32403.615234375,0.56695061922073364,0.32143300771713257,0.48467510938644409,0.43510428071022034
15.836,-32386.49609375,0.50216197967529297,0.25216665863990784,0.43510428071022034,0.43510428071022034
15.84,-33043.125,0.41681647300720215,0.17373597621917725,0.39762535691261292,0.43510428071022034
15.844,-32945.23046875,0.31261414289474487,0.097727596759796143,0.37119007110595703,0.43510428071022034
15.848,-32464.244140625,0.19181704521179199,0.036793779581785202,0.35425752401351929,0.43510428071022034
15.852,-32361.9375,0.057335011661052704,0.0032873034942895174,0.34500899910926819,0.43510428071022034
15.856,-32908.75,-0.087562009692192078,0.00766710564494133,0.34155026078224182,0.43510428071022034
15.86,-33039.64453125,-0.23944029211997986,0.057331651449203491,0.34209546446800232,0.43510428071022034
15.864,-32540.703125,-0.39459481835365295,0.15570506453514099,0.34512028098106384,0.43510428071022034
15.868,-32341.697265625,-0.54914921522140503,0.30156487226486206,0.34946030378341675,0.43510428071022034
15.872,-32749.65625,-0.69932544231414795,0.4890560507774353,0.35435542464256287,0.43510428071022034
15.876,-33137.46875,-0.84140527248382568,0.70796281099319458,0.35943883657455444,0.35943883657455444
15.88,-32623.03125,-0.97170573472976685,0.94421195983886719,0.36467155814170837,0.35943883657455444
15.884,-32337.40625,-1.0869443416595459,1.1814479827880859,0.37025395035743713,0.35943883657455444
15.888,-32614.162109375,-1.1844304800033569,1.402875542640686,0.37653321027755737,0.35943883657455444
