EEG_time, Ch01, Ch02, Ch03, Ch04, Ch05,timestamp_rel,LIFU_LSL_time,marker
3.656,-5287.6240234375,-4.7175164222717285,22.254959106445312,378.8570861816406,704.1121215820312,,,
3.66,-4663.9443359375,-5.8902268409729,34.69477462768555,356.1954650878906,704.1121215820312,,,
3.664,-4165.88818359375,-7.014521598815918,49.20351409912109,337.740966796875,704.1121215820312,,,
3.668,-4525.39990234375,-8.053077697753906,64.85205078125,323.563720703125,704.1121215820312,,,
3.672,-5257.10693359375,-8.97485065460205,80.54795074462889,313.46990966796875,704.1121215820312,,,
3.676,-4793.54931640625,-9.75379943847656,95.1365966796875,307.030517578125,704.1121215820312,,,
3.68,-4189.4677734375,-10.36908721923828,107.51796722412108,303.62615966796875,704.1121215820312,,,
3.684,-4417.30078125,-10.806567192077637,116.78189849853516,302.5038146972656,704.1121215820312,,,
3.688,-5183.578125,-11.058825492858888,122.2976303100586,302.8387756347656,704.1121215820312,,,
3.692,-4930.97412109375,-11.123006820678713,123.72129058837892,303.7958374023437,704.1121215820312,,,
3.696,-4238.72509765625,-10.999348640441896,120.98567962646484,304.5874938964844,304.5874938964844,,,
3.7,-4326.9873046875,-10.692072868347168,114.32041931152344,304.5227966308594,304.5874938964844,,,
3.704,-5071.25927734375,-10.209919929504396,104.24246978759766,303.0459899902344,304.5874938964844,,,
3.708,-5067.77734375,-9.564046859741211,91.47099304199219,299.7616271972656,304.5874938964844,,,
3.712,-4321.6708984375,-8.765913009643553,76.84123229980467,294.44598388671875,304.5874938964844,,,
3.716,-4258.06103515625,-7.827970027923584,61.27711868286133,287.0462951660156,304.5874938964844,,,
3.72,-4905.91552734375,-6.764791011810304,45.762401580810554,277.666748046875,304.5874938964844,,,
3.724,-5197.31103515625,-5.591543674468993,31.26535987854004,266.5467224121094,304.5874938964844,,,
3.728,-4424.21484375,-4.321939945220947,18.67916488647461,254.0321044921875,304.5874938964844,,,
3.732,-4212.40380859375,-2.9689955711364746,8.814933776855469,240.54318237304688,304.5874938964844,,,
3.736,-4767.84765625,-1.5467793941497805,2.392526149749756,226.5394744873047,304.5874938964844,,,
3.74,-5261.8271484375,-0.0698051080107688,0.0048727532848715,212.48703002929688,304.5874938964844,,,
3.744,-4543.4951171875,1.448621153831482,2.0985031127929688,198.830078125,304.5874938964844,,,
3.748,-4185.8193359375,2.995941162109375,8.975662231445312,185.9664764404297,304.5874938964844,,,
3.752,-4641.05712890625,4.558585166931152,20.780696868896484,174.22885131835938,304.5874938964844,,,
3.756,-5276.1083984375,6.121828556060791,37.47678756713867,163.87265014648438,304.5874938964844,,,
3.76,-4663.11083984375,7.6709885597228995,58.84406661987305,155.0711669921875,304.5874938964844,,,
3.764,-4176.49755859375,9.191454887390137,84.48283386230467,147.91650390625,304.5874938964844,,,
3.768,-4521.3701171875,10.667465209960938,113.79482269287108,142.4246826171875,304.5874938964844,,,
3.772,-5247.54541015625,12.081716537475586,145.96786499023438,138.5438690185547,304.5874938964844,,,
3.776,-4799.24755859375,13.416172981262209,179.9936981201172,136.1660614013672,304.5874938964844,,,
3.78,-4183.0537109375,14.65247631072998,214.695068359375,135.1395263671875,304.5874938964844,,,
3.784,-4403.85400390625,15.771487236022947,248.73982238769528,135.28109741210938,304.5874938964844,,,
3.788,-5156.63671875,16.753271102905273,280.67205810546875,136.3873748779297,304.5874938964844,,,
3.792,-4925.29931640625,17.577953338623047,308.9844665527344,138.24545288085938,304.5874938964844,,,
3.796,-4223.94287109375,18.226364135742188,332.2003479003906,140.64181518554688,140.64181518554688,,,
3.8,-4310.03662109375,18.6800594329834,348.944580078125,143.3695068359375,140.64181518554688,,,
3.804,-5042.22021484375,18.9215087890625,358.0235290527344,146.23361206054688,140.64181518554688,,,
3.808,-5063.3671875,18.93486976623535,358.529296875,149.0555877685547,140.64181518554688,,,
3.812,-4311.15625,18.706476211547848,349.9322814941406,151.6765899658203,140.64181518554688,,,
3.816,-4231.0,18.225032806396484,332.1517944335937,153.9597625732422,140.64181518554688,,,
3.82,-4876.44775390625,17.482219696044922,305.6280212402344,155.79208374023438,140.64181518554688,,,
3.824,-5187.75,16.47369956970215,271.3827514648437,157.08627319335938,140.64181518554688,,,
3.828,-4405.0693359375,15.19941234588623,231.0221405029297,157.7822265625,140.64181518554688,,,
3.832,-4168.01025390625,13.66352653503418,186.69197082519528,157.8482666015625,140.64181518554688,,,
3.836,-4734.82666015625,11.8750581741333,141.0170135498047,157.2823028564453,140.64181518554688,,,
3.84,-5233.00244140625,9.848608016967773,96.99507904052734,156.1122283935547,140.64181518554688,,,
3.844,-4507.3505859375,7.604151248931885,57.82311248779297,154.3958282470703,140.64181518554688,,,
3.848,-4134.03515625,5.166585445404053,26.693603515625,152.2192840576172,140.64181518554688,,,
3.852,-4607.01025390625,2.566035032272339,6.584536075592041,149.6945037841797,140.64181518554688,,,
3.856,-5237.12744140625,-0.1621214896440506,0.0262833777815103,146.9550018310547,140.64181518554688,,,
3.86,-4626.36962890625,-2.9783561229705806,8.87060546875,144.15023803710938,140.64181518554688,,,
3.864,-4121.5185546875,-5.840019226074219,34.1058235168457,141.4390411376953,140.64181518554688,,,
3.868,-4479.02734375,-8.701385498046875,75.714111328125,138.98117065429688,140.64181518554688,,,
3.872,-5193.51953125,-11.514022827148438,132.57272338867188,136.9292755126953,140.64181518554688,,,
3.876,-4747.86865234375,-14.2284517288208,202.4488220214844,135.42013549804688,140.64181518554688,,,
3.88,-4128.4560546875,-16.79569435119629,282.0953674316406,134.5668182373047,140.64181518554688,,,
3.884,-4359.078125,-19.16762351989746,367.3977966308594,134.4515838623047,140.64181518554688,,,
3.888,-5105.06640625,-21.297388076782227,453.5787658691406,135.12008666992188,140.64181518554688,,,
3.892,-4879.23681640625,-23.14118385314941,535.5144653320312,136.57809448242188,140.64181518554688,,,
3.896,-4186.7734375,-24.66010093688965,608.12060546875,138.79052734375,138.79052734375,,,
3.9,-4259.0615234375,-25.820724487304688,666.7098388671875,141.6832275390625,138.79052734375,,,
3.904,-4985.2607421875,-26.59523582458496,707.3065185546875,145.1466064453125,138.79052734375,,,
3.908,-5025.3388671875,-26.9625186920166,726.9774169921875,149.0419464111328,138.79052734375,,,
3.912,-4282.47509765625,-26.90977478027344,724.1360473632812,153.2100067138672,138.79052734375,,,
3.916,-4191.49462890625,-26.43292808532715,698.69970703125,157.48080444335938,138.79052734375,,,
3.92,-4831.1953125,-25.535915374755856,652.0828857421875,161.68356323242188,138.79052734375,,,
3.924,-5143.78515625,-24.230514526367188,587.1178588867188,165.6567840576172,138.79052734375,,,
3.928,-4380.3935546875,-22.537029266357425,507.9176635742188,169.25790405273438,138.79052734375,,,
3.932,-4131.4365234375,-20.484066009521484,419.596923828125,172.3702850341797,138.79052734375,,,
3.936,-4687.81103515625,-18.106960296630856,327.86199951171875,174.9060821533203,138.79052734375,,,
3.94,-5195.23681640625,-15.446563720703123,238.5963134765625,176.8077850341797,138.79052734375,,,
3.944,-4493.0693359375,-12.549238204956056,157.48336791992188,178.04928588867188,138.79052734375,,,
3.948,-4104.0185546875,-9.466197013854979,89.60888671875,178.6361541748047,138.79052734375,,,
3.952,-4562.97412109375,-6.251495361328125,39.08119583129882,178.6038360595703,138.79052734375,,,
3.956,-5217.60009765625,-2.9605472087860107,8.764839172363281,178.015625,138.79052734375,,,
3.96,-4612.47021484375,0.3501045703887939,0.1225732192397117,176.9600372314453,138.79052734375,,,
3.964,-4096.58056640625,3.6235973834991455,13.130457878112791,175.5467071533203,138.79052734375,,,
3.968,-4440.5703125,6.804884910583496,46.30645751953125,173.90145874023438,138.79052734375,,,
3.972,-5195.09375,9.842259407043455,96.87007904052734,172.1605224609375,138.79052734375,,,
3.976,-4756.64208984375,12.687405586242676,160.9702606201172,170.46395874023438,138.79052734375,,,
3.98,-4148.22119140625,15.29572868347168,233.95932006835935,168.9486541748047,138.79052734375,,,
3.984,-4365.15869140625,17.62777328491211,310.7384338378906,167.7405242919922,138.79052734375,,,
3.988,-5121.5654296875,19.65020179748535,386.1304626464844,166.94711303710938,138.79052734375,,,
3.992,-4896.5693359375,21.335708618164062,455.2124938964844,166.65084838867188,166.9061279296875,,,
3.996,-4201.0068359375,22.663167953491207,513.619140625,166.9061279296875,166.9061279296875,,,
4.0,-4267.3115234375,23.618541717529297,557.83544921875,167.7384490966797,166.9061279296875,,,
4.004,-4996.41943359375,24.195480346679688,585.4212646484375,169.1407012939453,166.9061279296875,,,
4.008,-5031.9677734375,24.394954681396484,595.11376953125,171.0679931640625,166.9061279296875,,,
4.012,-4276.39453125,24.224666595458984,586.83447265625,173.4376983642578,166.9061279296875,,,
4.016,-4192.0185546875,23.69891929626465,561.6388549804688,176.1351318359375,166.9061279296875,,,
4.02,-4823.58984375,22.838531494140625,521.5985107421875,179.02194213867188,166.9061279296875,,,
4.024,-5140.54296875,21.670267105102536,469.6004943847656,181.9454040527344,166.9061279296875,,,
4.028,-4369.5927734375,20.225732803344727,409.0802612304688,184.75105285644528,166.9061279296875,,,
4.032,-4127.7412109375,18.540456771850582,343.74853515625,187.29638671875,166.9061279296875,,,
4.036,-4673.33837890625,16.653173446655273,277.3282165527344,189.46371459960935,166.9061279296875,,,
4.04,-5189.68212890625,14.60499095916748,213.3057556152344,191.1700134277344,166.9061279296875,,,
4.044,-4484.2724609375,12.438102722167969,154.70639038085938,192.3737030029297,166.9061279296875,,,
4.048,-4105.2099609375,10.194621086120604,103.9302978515625,193.07695007324216,166.9061279296875,,,
4.052,-4553.96240234375,7.915695190429687,62.6582260131836,193.3235626220703,166.9061279296875,,,
4.056,-5203.84375,5.640527248382568,31.815547943115234,193.19189453125,166.9061279296875,,,
4.06,-4609.53759765625,3.4053168296813965,11.596181869506836,192.78398132324216,166.9061279296875,,,
4.064,-4109.5732421875,1.2426341772079468,1.5441396236419678,192.21345520019528,166.9061279296875,,,
4.068,-4437.5185546875,-0.8189091682434082,0.6706122159957885,191.59480285644528,166.9061279296875,,,
