Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08, Ch09
19.744,12.97370433807373,2.066371962428093e-09,10.42656421661377,4.4393730163574219,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,1.0860593318939209,0
19.748,-0.31678929924964905,2.066371962428093e-09,-2.0711448192596436,1.954721212387085,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,1.1787993907928467,0
19.752,-9.7883987426757812,2.066371962428093e-09,-10.94166088104248,-6.4041204452514648,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.13270525634288788,0
19.756,9.0895977020263672,2.066371962428093e-09,6.4958000183105469,0.45123571157455444,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.012426732107996941,0
19.76,14.270197868347168,2.066371962428093e-09,10.961888313293457,7.546658992767334,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.26433604955673218,0
19.764,-4.3610868453979492,2.066371962428093e-09,-6.3835654258728027,-1.2966709136962891,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.38039788603782654,0
19.768,-1.841191291809082,2.066371962428093e-09,-3.8359732627868652,-4.740725040435791,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.66741549968719482,0
19.772,14.949689865112305,2.066371962428093e-09,11.832127571105957,5.2598090171813965,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.17566879093647003,0
19.776,5.1956405639648438,2.066371962428093e-09,3.3199610710144043,5.5463142395019531,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.20637401938438416,0
19.78,-8.8506746292114258,2.066371962428093e-09,-9.2430706024169922,-3.8039214611053467,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.73988312482833862,0
19.784,5.837557315826416,2.066371962428093e-09,4.0452003479003906,-0.30679169297218323,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.80273610353469849,0
19.788,14.913312911987305,2.066371962428093e-09,12.598030090332031,8.0928554534912109,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.42824047803878784,0
19.792,-4.8424568176269531,2.066371962428093e-09,-4.994232177734375,0.62660205364227295,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.27974843978881836,0
19.796,-8.7847108840942383,2.066371962428093e-09,-8.4804410934448242,-5.5526223182678223,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.126713827252388,0
19.8,10.787307739257812,2.066371962428093e-09,9.2721376419067383,4.9389739036560059,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.41485714912414551,0
19.804,5.0107102394104004,2.066371962428093e-09,4.0307912826538086,7.1013326644897461,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.76605319976806641,0
19.808,-12.858830451965332,2.066371962428093e-09,-12.098187446594238,-4.2695226669311523,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.34775751829147339,0
19.812,0.041823923587799072,2.066371962428093e-09,-0.6927790641784668,-2.3440940380096436,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.1717294454574585,0
19.816,11.069705009460449,2.066371962428093e-09,9.0503139495849609,6.2470808029174805,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.15264992415904999,0
19.82,-7.7544808387756348,2.066371962428093e-09,-6.9229040145874023,-0.66127479076385498,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.67212629318237305,0
19.824,-13.339352607727051,2.066371962428093e-09,-10.655492782592773,-7.6813979148864746,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.47005939483642578,0
19.828,6.1500182151794434,2.066371962428093e-09,7.4907393455505371,0.95342814922332764,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.1471308171749115,0
19.832,5.1646971702575684,2.066371962428093e-09,6.581667423248291,5.1114158630371094,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.09933529794216156,0
19.836,-13.169776916503906,2.066371962428093e-09,-10.788966178894043,-4.636080265045166,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.38754838705062866,0
19.84,-6.1064085960388184,2.066371962428093e-09,-5.1872267723083496,-5.841827392578125,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.74525564908981323,0
19.844,9.130558967590332,2.066371962428093e-09,8.8448410034179688,4.1559844017028809,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.052012614905834198,0
19.848,-4.0692038536071777,2.066371962428093e-09,-2.3453719615936279,1.4754863977432251,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.54563891887664795,0
19.852,-14.218999862670898,2.066371962428093e-09,-10.934788703918457,-7.6534996032714844,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.13434724509716034,0
19.856,4.3590645790100098,2.066371962428093e-09,6.3589315414428711,-0.79168099164962769,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.41284388303756714,0
19.86,8.953460693359375,2.066371962428093e-09,10.186190605163574,6.2769417762756348,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.30479639768600464,0
19.864,-10.923901557922363,2.066371962428093e-09,-8.0576629638671875,-3.0779750347137451,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.8087005615234375,0
19.868,-8.4184017181396484,2.066371962428093e-09,-5.2757072448730469,-6.2605767250061035,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-1.0712524652481079,0
19.872,9.8456859588623047,2.066371962428093e-09,11.210783004760742,4.7569494247436523,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.5334935188293457,0
19.876,1.1912238597869873,2.066371962428093e-09,3.519012451171875,5.3089585304260254,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.1846599280834198,0
19.88,-12.109565734863281,2.066371962428093e-09,-8.0377941131591797,-4.5579099655151367,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.38936695456504822,0
19.884,4.07806396484375,2.066371962428093e-09,5.7108826637268066,-0.81667792797088623,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.35656824707984924,0
19.888,14.014674186706543,2.066371962428093e-09,13.422808647155762,7.9976859092712402,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.0143531309440732,0
19.892,-6.279146671295166,2.066371962428093e-09,-5.0857315063476562,-0.17709894478321075,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.015606787987053394,0
19.896,-9.9141006469726562,2.066371962428093e-09,-7.7373991012573242,-7.0173935890197754,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.22334778308868408,0
19.9,11.734700202941895,2.066371962428093e-09,11.879536628723145,4.0424413681030273,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.11884073913097382,0
19.904,7.9839072227478027,2.066371962428093e-09,7.374025821685791,6.9366621971130371,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.024860432371497154,0
19.908,-9.356999397277832,2.066371962428093e-09,-9.4624147415161133,-4.3356657028198242,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.23097169399261475,0
19.912,3.9605178833007812,2.066371962428093e-09,2.0827758312225342,-1.7593047618865967,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.11255520582199097,0
19.916,16.357187271118164,2.066371962428093e-09,13.104024887084961,8.4475126266479492,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.64313638210296631,0
19.92,-1.3950424194335938,2.066371962428093e-09,-2.6653060913085938,2.6847198009490967,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,1.171841025352478,0
19.924,-6.4228849411010742,2.066371962428093e-09,-7.0001096725463867,-4.4362449645996094,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.91643828153610229,0
19.928,14.096145629882812,2.066371962428093e-09,11.235588073730469,4.5127511024475098,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.68159103393554688,0
19.932,13.075236320495605,2.066371962428093e-09,10.03809928894043,9.2890806198120117,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.49535384774208069,0
19.936,-7.5448861122131348,2.066371962428093e-09,-8.7233304977416992,-1.3319190740585327,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.31680449843406677,0
19.94,-3.0062904357910156,2.066371962428093e-09,-4.4022674560546875,-4.0577497482299805,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.9644627571105957,0
19.944,11.269984245300293,2.066371962428093e-09,8.9315690994262695,4.9806838035583496,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.57778787612915039,0
19.948,-1.63694167137146,2.066371962428093e-09,-2.4966285228729248,1.9753959178924561,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.19182702898979187,0
19.952,-11.235478401184082,2.066371962428093e-09,-10.875509262084961,-7.3860869407653809,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.42819547653198242,0
19.956,8.1988649368286133,2.066371962428093e-09,6.9315214157104492,-0.72746628522872925,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.18657970428466797,0
19.96,13.759463310241699,2.066371962428093e-09,11.631970405578613,6.9556493759155273,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.018494796007871628,0
19.964,-6.4577317237854004,2.066371962428093e-09,-6.4333786964416504,-2.011390209197998,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.65397626161575317,0
19.968,-5.4506635665893555,2.066371962428093e-09,-4.5942254066467285,-5.8667778968811035,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,-0.64735490083694458,0
19.972,12.168975830078125,2.066371962428093e-09,11.268379211425781,4.7272939682006836,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.38792508840560913,0
19.976,4.1319746971130371,2.066371962428093e-09,3.3895263671875,5.554140567779541,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.90971040725708008,0
19.98,-9.2864179611206055,2.066371962428093e-09,-8.6297378540039062,-4.3330702781677246,2.066371962428093e-09,2.066371962428093e-09,2.066371962428093e-09,0.79240500926971436,0
