Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06
95.808,-6198.14453125,3.8117072582244873,14.529111862182617,2.9128029346466064,0.14181888103485107,-0.061698347330093384
95.812,-5140.2568359375,3.7599411010742188,14.137158393859863,3.1922409534454346,0.20867009460926056,-0.061698347330093384
95.816,-5710.6015625,3.6367218494415283,13.225746154785156,3.4510211944580078,0.27057924866676331,-0.061698347330093384
95.82,-7314.0859375,3.4442024230957031,11.862530708312988,3.679962158203125,0.32534980773925781,-0.061698347330093384
95.824,-6437.6123046875,3.1859352588653564,10.150182723999023,3.8721938133239746,0.37133827805519104,-0.061698347330093384
95.828,-5220.3896484375,2.8664352893829346,8.2164516448974609,4.0235824584960938,0.40755566954612732,-0.061698347330093384
95.832,-5492.13916015625,2.4917068481445312,6.2086029052734375,4.1330437660217285,0.43374252319335938,-0.061698347330093384
95.836,-7133.12744140625,2.0693583488464355,4.2822442054748535,4.2026419639587402,0.45039287209510803,0.45039287209510803
95.84,-6668.35400390625,1.6079556941986084,2.5855212211608887,4.2373871803283691,0.45870509743690491,0.45039287209510803
95.844,-5382.22900390625,1.1168075799942017,1.2472591400146484,4.2447905540466309,0.46047616004943848,0.45039287209510803
95.848,-5355.8349609375,0.60600394010543823,0.36724081635475159,4.2342696189880371,0.45795932412147522,0.45039287209510803
95.852,-6895.56640625,0.085755489766597748,0.0073540038429200649,4.216367244720459,0.45367637276649475,0.45039287209510803
95.856,-6876.32666015625,-0.43427437543869019,0.18859422206878662,4.2019195556640625,0.4502200186252594,0.45039287209510803
95.86,-5547.54833984375,-0.94469022750854492,0.89243966341018677,4.2012786865234375,0.45006671547889709,0.45039287209510803
95.864,-5256.72509765625,-1.4360673427581787,2.0622894763946533,4.2235631942749023,0.4553978443145752,0.45039287209510803
95.868,-6604.76806640625,-1.8995653390884399,3.6083483695983887,4.2759995460510254,0.46794247627258301,0.45039287209510803
95.872,-7077.6943359375,-2.3275420665740967,5.417452335357666,4.3634514808654785,0.48886394500732422,0.45039287209510803
95.876,-5716.77734375,-2.7133522033691406,7.3622803688049316,4.4881620407104492,0.518699049949646,0.518699049949646
95.88,-5188.32275390625,-3.051011323928833,9.3086700439453125,4.6496343612670898,0.55732887983322144,0.518699049949646
95.884,-6315.44677734375,-3.3353908061981201,11.124832153320312,4.844696044921875,0.60399425029754639,0.518699049949646
95.888,-7238.9365234375,-3.5626652240753174,12.692584037780762,5.0678038597106934,0.65736943483352661,0.518699049949646
95.892,-5921.33984375,-3.7305233478546143,13.916804313659668,5.3115577697753906,0.71568375825881958,0.518699049949646
95.896,-5131.9365234375,-3.8379416465759277,14.729795455932617,5.5673232078552246,0.77687156200408936,0.518699049949646
95.9,-6006.17041015625,-3.8846797943115234,15.090736389160156,5.8258376121520996,0.83871716260910034,0.518699049949646
95.904,-7342.93505859375,-3.8711605072021484,14.985883712768555,6.0778555870056152,0.89900857210159302,0.518699049949646
95.908,-6166.64990234375,-3.7990317344665527,14.432642936706543,6.3148574829101562,0.95570755004882812,0.518699049949646
95.912,-5122.2568359375,-3.6714439392089844,13.479499816894531,6.5297150611877441,1.0071086883544922,1.0519454479217529
95.916,-5728.0546875,-3.4923171997070312,12.196279525756836,6.717132568359375,1.0519454479217529,1.0519454479217529
95.92,-7330.27587890625,-3.2657463550567627,10.665098190307617,6.8738961219787598,1.0894486904144287,1.0519454479217529
95.924,-6413.4365234375,-2.9964478015899658,8.97869873046875,6.9989876747131348,1.1193749904632568,1.0519454479217529
95.928,-5185.34228515625,-2.6901195049285889,7.2367429733276367,7.0935401916503906,1.1419951915740967,1.0519454479217529
95.932,-5526.11328125,-2.3528804779052734,5.5360465049743652,7.1605391502380371,1.1580235958099365,1.0519454479217529
95.936,-7196.35546875,-1.9908912181854248,3.9636478424072266,7.204345703125,1.1685037612915039,1.0519454479217529
95.94,-6645.1787109375,-1.6105976104736328,2.594024658203125,7.230133056640625,1.1746728420257568,1.0519454479217529
95.944,-5311.70458984375,-1.2186505794525146,1.4851090908050537,7.243257999420166,1.177812933921814,1.0519454479217529
95.948,-5373.1201171875,-0.82147330045700073,0.67481839656829834,7.2486152648925781,1.179094672203064,1.0519454479217529
95.952,-6951.9765625,-0.425283282995224,0.18086585402488708,7.250086784362793,1.1794465780258179,1.0519454479217529
95.956,-6864.35791015625,-0.036111950874328613,0.0013040730264037848,7.2501082420349121,1.1794517040252686,1.1794517040252686
