EEG_time, Ch01, Ch02, Ch03, Ch04, Ch05,timestamp_rel,LIFU_LSL_time,marker
2.692,24005.10546875,-0.5029224157333374,0.2529309689998626,52.850261688232415,52.812358856201165,,,
2.696,23934.916015625,-1.1357030868530271,1.2898213863372805,52.812358856201165,52.812358856201165,,,
2.7,23995.712890625,-1.7594890594482422,3.095801830291748,52.8325424194336,52.812358856201165,,,
2.704,24047.28125,-2.364973783493042,5.593100547790527,52.87080764770508,52.812358856201165,,,
2.708,24018.71875,-2.941809892654419,8.65424633026123,52.8901252746582,52.812358856201165,,,
2.712,23937.51171875,-3.479389190673828,12.10614776611328,52.857666015625,52.812358856201165,,,
2.716,23989.728515625,-3.967326641082764,15.739680290222168,52.74554443359375,52.812358856201165,,,
2.72,24046.353515625,-4.395510673522949,19.32051658630371,52.53120040893555,52.812358856201165,,,
2.724,24025.587890625,-4.754412651062012,22.604440689086918,52.1974983215332,52.812358856201165,,,
2.728,23912.3125,-5.03589391708374,25.360225677490234,51.7326774597168,52.812358856201165,,,
2.732,23944.666015625,-5.233922481536865,27.393945693969727,51.130176544189446,52.812358856201165,,,
2.736,24011.115234375,-5.3448333740234375,28.56724166870117,50.38842010498047,52.812358856201165,,,
2.74,24007.181640625,-5.367453098297119,28.809551239013672,49.51066970825195,52.812358856201165,,,
2.744,23927.953125,-5.303328037261962,28.12528610229492,48.50482177734375,52.812358856201165,,,
2.748,23934.724609375,-5.15667200088501,26.59126853942871,47.38329315185546,52.812358856201165,,,
2.752,24005.130859375,-4.933816432952881,24.342544555664062,46.16279983520508,52.812358856201165,,,
2.756,24006.75,-4.642720699310304,21.554855346679688,44.864013671875,52.812358856201165,,,
2.76,23948.384765625,-4.292799949645996,18.428131103515625,43.51102828979492,52.812358856201165,,,
2.764,23958.115234375,-3.8945941925048824,15.167864799499512,42.13059616088867,52.812358856201165,,,
2.768,24029.162109375,-3.4589545726776123,11.964367866516112,40.75112915039063,52.812358856201165,,,
2.772,24048.306640625,-2.996232271194458,8.977407455444336,39.401531219482415,52.812358856201165,,,
2.776,24000.765625,-2.5158932209014893,6.329718589782715,38.10986328125,52.812358856201165,,,
2.78,23956.15625,-2.026336669921875,4.106040000915527,36.90206909179688,52.812358856201165,,,
2.784,24017.791015625,-1.5347639322280884,2.3555004596710205,35.80060958862305,52.812358856201165,,,
2.788,24049.787109375,-1.0472488403320312,1.0967299938201904,34.823345184326165,52.812358856201165,,,
2.792,24015.453125,-0.5689343214035034,0.323686271905899,33.98273849487305,52.812358856201165,,,
2.796,23952.869140625,-0.1041276678442955,0.01084257196635,33.28529739379883,33.28529739379883,,,
2.8,24008.109375,0.3436132967472076,0.1180701032280921,32.73149490356445,33.28529739379883,,,
2.804,24046.115234375,0.7712581753730773,0.5948390960693359,32.31591796875,33.28529739379883,,,
2.808,23995.806640625,1.1760390996932983,1.3830678462982178,32.027854919433594,33.28529739379883,,,
2.812,23922.662109375,1.5551906824111938,2.4186179637908936,31.851938247680664,33.28529739379883,,,
2.816,23957.875,1.905611991882324,3.6313567161560054,31.769100189208984,33.28529739379883,,,
2.82,24025.990234375,2.223576784133911,4.944293022155762,31.757595062255856,33.28529739379883,,,
2.824,24007.275390625,2.5048007965087886,6.274027347564696,31.79399681091309,33.28529739379883,,,
2.828,23934.677734375,2.7448799610137935,7.534365653991699,31.854171752929688,33.28529739379883,,,
2.832,23948.12109375,2.9396700859069824,8.641660690307617,31.91416549682617,33.28529739379883,,,
2.836,24021.462890625,3.085409164428711,9.519749641418455,31.950963973999023,33.28529739379883,,,
2.84,24044.849609375,3.178916454315185,10.105509757995604,31.94313621520996,33.28529739379883,,,
2.844,23983.48046875,3.218168258666992,10.356605529785156,31.8714599609375,33.28529739379883,,,
2.848,23970.9375,3.202892303466797,10.258519172668455,31.7194938659668,33.28529739379883,,,
2.852,24046.13671875,3.134714841842652,9.826436996459961,31.47406005859375,33.28529739379883,,,
2.856,24059.91796875,3.017035961151123,9.102505683898924,31.125665664672848,33.28529739379883,,,
2.86,23991.91796875,2.8549525737762447,8.15075397491455,30.668878555297848,33.28529739379883,,,
2.864,23965.12109375,2.655049085617065,7.0492849349975595,30.10263061523437,33.28529739379883,,,
2.868,24038.03125,2.424910306930542,5.880190372467041,29.43039894104004,33.28529739379883,,,
2.872,24041.296875,2.1726086139678955,4.720228672027588,28.66024398803711,33.28529739379883,,,
2.876,23967.697265625,1.9063113927841189,3.6340231895446777,27.80468368530273,33.28529739379883,,,
2.88,23934.33984375,1.6337884664535522,2.669265031814575,26.880273818969727,33.28529739379883,,,
2.884,23994.853515625,1.3618046045303345,1.854511857032776,25.90700340270996,33.28529739379883,,,
2.888,24035.337890625,1.095758080482483,1.2006858587265017,24.9074821472168,33.28529739379883,,,
2.892,23985.771484375,0.8397578001022338,0.7051932215690612,23.90592384338379,33.28529739379883,,,
2.896,23932.103515625,0.5968737602233886,0.3562583029270172,22.92695617675781,22.92695617675781,,,
2.9,23986.556640625,0.3691976070404052,0.1363068521022796,21.994319915771484,22.92695617675781,,,
2.904,24035.98046875,0.1578034162521362,0.0249019209295511,21.1295108795166,22.92695617675781,,,
2.908,24004.65234375,-0.0370479114353656,0.0013725475873798,20.35053062438965,22.92695617675781,,,
2.912,23931.552734375,-0.2155357152223587,0.0464556440711021,19.670925140380856,22.92695617675781,,,
2.916,23990.51171875,-0.3780956268310546,0.1429563015699386,19.099044799804688,22.92695617675781,,,
2.92,24066.619140625,-0.5253409147262573,0.2759830355644226,18.637722015380856,22.92695617675781,,,
2.924,24044.27734375,-0.6577160954475402,0.4325904250144958,18.2842960357666,22.92695617675781,,,
