Fz,FC3,FC5,F3,FC4,FCz,Cz,Time,t_rel,idx
4.931240704710732,-18.22700294530386,-32.947406532866204,51.82174584357045,-19.492574492061337,6.329491888672855,7.584505533277382,191.068,-0.33601390008627163,7
4.486456099875916,-13.722025844579337,-33.19940328308661,48.77495453310705,-14.441258188447618,4.651771147251476,3.4495055358791507,191.072,-0.33201390008628096,7
5.491668870129241,-14.400865926503961,-31.642162020322033,47.38169869218395,-14.493391591609694,5.574940529803717,2.0881114463187966,191.076,-0.3280139000862903,7
6.55673176788126,-18.23062737692605,-30.130034163588213,48.4849298602708,-18.08705470763063,7.468932379365088,3.9371222406277684,191.08,-0.3240139000862712,7
6.112936975270654,-20.06178349757643,-30.788290144724286,50.72437588329456,-20.14715989038045,7.586129802837722,6.5737908712782485,191.084,-0.3200139000862805,7
3.936615253520487,-16.87490533960785,-33.86937944917324,52.00445124705094,-17.232974240124847,4.8019548331440545,7.234237695190488,191.088,-0.3160139000862898,7
1.4106028543975904,-10.68191664113817,-37.38482351244989,51.38802247643702,-10.789287245680447,0.7340788622248337,5.323323206209085,191.092,-0.3120139000862707,7
0.2942220813255515,-6.492104390420481,-38.83779048952683,49.72407331462706,-5.61620278249391,-1.7487069278116418,2.676509194300283,191.096,-0.30801390008628005,7
1.1731444464033054,-7.557536226447724,-37.37773309036096,48.627429635778746,-5.34786177852151,-1.1085676655469356,1.5911246786951139,191.1,-0.30401390008628937,7
3.0220611948659672,-12.531807020598484,-34.377350066301034,48.939872184805935,-9.377867431513977,1.6451210914065773,2.679970047335055,191.104,-0.30001390008627027,7
4.230141223451887,-17.0776890731392,-32.01875443852766,50.126453879212846,-13.94342029272259,4.127648071565944,4.555620630158793,191.108,-0.2960139000862796,7
4.080178093845937,-18.121224268121498,-31.344629952266793,51.02798233713664,-15.954933012573106,4.863403573283167,5.449223228695668,191.112,-0.2920139000862889,7
3.313525713230972,-16.606917770210607,-31.587799551037882,51.09224680237099,-15.726995445302052,4.4779642398728345,5.037976011075781,191.116,-0.2880139000862698,7
3.328656324918258,-16.30482194232701,-31.224072114454298,50.8654547808619,-16.17185543085096,4.80290197344543,4.7037364084067015,191.12,-0.28401390008627914,7
4.827663119690941,-20.052285086215353,-29.55228803883243,51.35158870559553,-19.574329463882428,6.930152464143042,6.069498299500731,191.124,-0.28001390008628846,7
7.161512067088658,-27.05042968707759,-27.270595026456242,52.949470119245134,-25.218984458127373,10.126475642809838,9.302551342517603,191.128,-0.2760139000862978,7
8.905866348485876,-33.5751086545958,-25.65681282413204,55.00734065582677,-30.01977284345969,12.534370850701054,12.804116467173852,191.132,-0.2720139000862787,7
9.078035574700394,-36.21032704904335,-25.313307526720045,56.37371190268114,-31.321686482924832,12.860079334703524,14.533494246603198,191.136,-0.268013900086288,7
7.917706747505473,-34.61374375554219,-25.69502125872428,56.38535377493471,-29.181129474309635,11.460065311277416,13.726768654858548,191.14,-0.2640139000862973,7
6.645833222570929,-31.57934434613946,-25.721142563387826,55.396062708759914,-26.228108138422094,9.9744628469215,11.512236269697047,191.144,-0.2600139000862782,7
6.522586614084757,-30.68973210604164,-24.736148885553632,54.43647397605094,-25.53738182807639,10.016467340250463,9.987734889285539,191.148,-0.25601390008628755,7
