Time,Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07
898825.3019807,-45782.44921875,-15.485794067382812,239.809814453125,237.0339813232422,56.15166473388672,31.941381454467773,-2.6202023029327393
898825.3199677,-47374.70703125,-9.81781005859375,96.38938903808594,238.835693359375,56.58270263671875,56.66157150268555,-2.742507219314575
898825.3203702,-47006.51953125,-3.5780677795410156,12.802569389343262,239.01095581054688,56.62462615966797,56.66157150268555,-2.9543604850769043
898825.3207058,-45414.35546875,3.107104539871216,9.654098510742188,239.1653594970703,56.66157150268555,56.66157150268555,-3.1553103923797607
898825.3227384,-45556.23828125,10.09576416015625,101.9244613647461,241.1944580078125,57.146995544433594,56.66157150268555,-3.4810950756073
898825.3336249,-47189.09375,17.23372459411621,297.001220703125,247.1343994140625,58.56804275512695,56.66157150268555,-3.797711133956909
898825.3386994,-47260.14453125,24.358190536499023,593.3214721679688,258.9869079589844,61.403564453125,56.66157150268555,-3.7630743980407715
898825.3406001,-45671.94921875,31.30169105529785,979.7957763671875,278.534912109375,66.08012390136719,56.66157150268555,-3.6094729900360107
898825.3413893,-45398.5234375,37.896209716796875,1436.1226806640625,307.1641540527344,72.9292221069336,56.66157150268555,-3.7815628051757812
898825.3575963,-46969.20703125,43.977294921875,1934.0025634765625,345.70654296875,82.14988708496094,56.66157150268555,-3.9261908531188965
898825.3583771,-47475.3125,49.38808059692383,2439.182861328125,394.322509765625,93.78050231933594,56.66157150268555,-3.4871726036071777
898825.3662863,-45958.33203125,53.98311233520508,2914.176513671875,452.43310546875,107.68255615234375,56.66157150268555,-2.935481309890747
898825.3671609,-45276.40625,57.63213348388672,3321.462890625,518.7127685546875,123.5389404296875,140.86776733398438,-3.0559799671173096
898825.370249,-46688.84375,60.22343826293945,3626.862548828125,591.1473388671875,140.86776733398438,140.86776733398438,-3.591160535812378
898825.3722326,-47596.8359375,61.666831970214844,3802.798095703125,667.1559448242188,159.0516815185547,140.86776733398438,-3.8744189739227295
898825.3747332,-46244.125,61.89617919921875,3831.13671875,743.7722778320312,177.3809356689453,140.86776733398438,-3.9706943035125732
898825.3752847,-45204.48046875,60.87151336669922,3705.341064453125,817.8714599609375,195.10800170898438,140.86776733398438,-4.152500152587891
898825.3789761,-46386.08203125,58.58062744140625,3431.690185546875,886.4285278320312,211.5092315673828,140.86776733398438,-4.216747283935547
898825.3842825,-47608.8984375,55.03990936279297,3029.391845703125,946.7830200195312,225.94808959960938,140.86776733398438,-3.9937853813171387
898825.3864564,-46511.73046875,50.29448699951172,2529.53515625,996.890625,237.935546875,140.86776733398438,-3.6455321311950684
898825.3875389,-45191.90625,44.41765213012695,1972.927734375,1035.5345458984375,247.18051147460938,140.86776733398438,-3.2410876750946045
898825.3974402,-46071.48828125,37.50969314575195,1406.9771728515625,1062.475341796875,253.6256866455078,140.86776733398438,-2.7586417198181152
898825.400717,-47523.26953125,29.695886611938477,881.845703125,1078.522216796875,257.464599609375,140.86776733398438,-2.336517333984375
898825.4084923,-46769.05078125,21.123821258544922,446.2158203125,1085.513427734375,259.13714599609375,259.13714599609375,-2.0429015159606934
898825.4167541,-45279.86328125,11.960149765014648,143.045166015625,1086.2037353515625,259.3023376464844,259.13714599609375,-1.786482810974121
