LSL Time,Raw,Theta Bandpass,Power,Moving Average,Z-score,Hold,Trigger Channel,offline z-score,median,mad,LIFU,t_rel,idx
555948.4479895,41904.9296875,1.3914655447006226,1.936176300048828,1.5171533823013306,-0.1920685470104217,-0.1920685470104217,34.61461639404297,-0.1920685470104217,-0.16255125403404236,-0.1920685470104217,0.0,3.515096600051038,1
555948.4601556,43012.2421875,1.5620687007904053,2.440058946609497,1.4576222896575928,-0.2063104659318924,-0.1920685470104217,19.08563804626465,-0.1920685470104217,-0.16255125403404236,-0.1920685470104217,0.0,3.5272627000231296,1
555948.4615826,43348.08203125,1.7189538478851318,2.9548022747039795,1.424102544784546,-0.2143295258283615,-0.1920685470104217,-22.5205078125,-0.1920685470104217,-0.16255125403404236,-0.1920685470104217,0.0,3.5286897000623867,1
555948.4622028,41728.05078125,1.8580377101898196,3.4523041248321533,1.4178117513656616,-0.2158344984054565,-0.1920685470104217,-34.05311965942383,-0.1920685470104217,-0.16255125403404236,-0.1920685470104217,0.0,3.5293099000118673,1
555948.4624198,41799.05078125,1.975248098373413,3.901605129241944,1.438068985939026,-0.2109882831573486,-0.1920685470104217,1.475754737854004,-0.1920685470104217,-0.16255125403404236,-0.1920685470104217,0.0,3.529526900034398,1
555948.4745799,42820.0234375,2.066582441329956,4.2707624435424805,1.4823423624038696,-0.2003965377807617,-0.1920685470104217,34.58454513549805,-0.1920685470104217,-0.16255125403404236,-0.1920685470104217,0.0,3.541687000077218,1
555948.4759819,43178.51953125,2.1283867359161377,4.530030727386475,1.5464468002319336,-0.1850605756044387,-0.1920685470104217,19.18923568725586,-0.1920685470104217,-0.16255125403404236,-0.1920685470104217,0.0,3.543089000042528,1
555948.4772653,42476.34375,2.157672166824341,4.6555495262146,1.624887228012085,-0.1662949025630951,-0.1920685470104217,-22.361263275146484,-0.1920685470104217,-0.16255125403404236,-0.1920685470104217,0.0,3.5443724000360817,1
555948.4779363,41435.01171875,2.152235746383667,4.632118225097656,1.711317777633667,-0.1456177681684494,-0.1920685470104217,-33.972801208496094,-0.1920685470104217,-0.16255125403404236,-0.1920685470104217,0.0,3.5450434000231326,1
555948.491202,42607.59375,2.110600233078003,4.4546332359313965,1.799059510231018,-0.124626912176609,-0.1048748269677162,1.396103858947754,-0.1048748269677162,-0.1627868115901947,0.264311672879219,0.0,3.558309099986218,1
555948.4935815,43268.65625,2.0320141315460205,4.129080772399902,1.8816232681274412,-0.1048748269677162,-0.1048748269677162,34.3712043762207,-0.1048748269677162,-0.1627868115901947,-0.1048748269677162,0.0,3.56068860006053,1
555948.4946289,42380.0,1.9166206121444704,3.6734344959259033,1.953209638595581,-0.0877488851547241,-0.1048748269677162,18.9599666595459,-0.1048748269677162,-0.1627868115901947,-0.1048748269677162,0.0,3.561736000003293,1
555948.4953839,41969.23046875,1.7656358480453491,3.117469787597656,2.009150266647339,-0.0743659511208534,-0.1048748269677162,-22.449031829833984,-0.1048748269677162,-0.1627868115901947,-0.1048748269677162,0.0,3.562491000047885,1
555948.5043792,42107.0625,1.581308126449585,2.500535488128662,2.046243190765381,-0.065492071211338,-0.1048748269677162,-33.83061981201172,-0.1048748269677162,-0.1627868115901947,-0.1048748269677162,0.0,3.571486300090328,1
555948.5076451,43309.1171875,1.3667007684707642,1.867871046066284,2.0629379749298096,-0.061498075723648,-0.1048748269677162,1.688341736793518,-0.1048748269677162,-0.1627868115901947,-0.1048748269677162,0.0,3.574752200045623,1
555948.5106461,42567.7109375,1.125549077987671,1.2668607234954834,2.0593650341033936,-0.0623528659343719,-0.1048748269677162,34.610679626464844,-0.1048748269677162,-0.1627868115901947,-0.1048748269677162,0.0,3.5777532000793144,1
555948.5115569,41687.3671875,0.8623017072677612,0.7435643076896667,2.037238359451294,-0.067646324634552,-0.1048748269677162,18.96177291870117,-0.1048748269677162,-0.1627868115901947,-0.1048748269677162,0.0,3.5786640000296757,1
555948.5228975,42480.0625,0.5821660757064819,0.3389173448085785,1.9996458292007449,-0.076639749109745,-0.1048748269677162,-22.75048446655273,-0.1048748269677162,-0.1627868115901947,-0.1048748269677162,0.0,3.5900046000024304,1
555948.5266225,42994.40625,0.2909415662288666,0.0846469849348068,1.950731635093689,-0.0883417129516601,-0.1048748269677162,-34.347808837890625,-0.1048748269677162,-0.1627868115901947,-0.1048748269677162,0.0,3.593729600077495,1
555948.5282854,42749.6484375,-0.0053241811692714,2.834690712916199e-05,1.8952983617782595,-0.1016032472252845,-0.1048748269677162,1.1458858251571655,-0.1048748269677162,-0.1627868115901947,-0.1048748269677162,0.0,3.595392500050366,1
555948.5287457,41740.46875,-0.3006030917167663,0.0903622284531593,1.838375687599182,-0.115221120417118,-0.115221120417118,34.213951110839844,-0.115221120417118,-0.1627868115901947,0.26402893824672696,0.0,3.5958528000628576,1
555948.5383939,42035.89453125,-0.5889479517936707,0.3468596935272217,1.7848126888275146,-0.128035232424736,-0.115221120417118,18.772216796875,-0.115221120417118,-0.1627868115901947,-0.115221120417118,0.0,3.6055010000709444,1
555948.5402068,43454.29296875,-0.8645033836364746,0.7473661303520203,1.7389230728149414,-0.1390136182308197,-0.115221120417118,-22.77372169494629,-0.115221120417118,-0.1627868115901947,-0.115221120417118,0.0,3.607313900021836,1
555948.540821,42624.64453125,-1.1216884851455688,1.2581850290298462,1.704192876815796,-0.14732226729393,-0.115221120417118,-34.270469665527344,-0.115221120417118,-0.1627868115901947,-0.115221120417118,0.0,3.607928100042045,1
555948.5412448,41854.0,-1.3555171489715576,1.837426781654358,1.6830711364746094,-0.1523753106594085,-0.115221120417118,1.295515775680542,-0.115221120417118,-0.1627868115901947,-0.115221120417118,0.0,3.6083519000094384,1
555948.5506131,41912.10546875,-1.5618066787719729,2.4392402172088623,1.6768630743026731,-0.1538605242967605,-0.115221120417118,34.42961502075195,-0.115221120417118,-0.1627868115901947,-0.115221120417118,0.0,3.6177201999817044,1
555948.5548168,43005.70703125,-1.7371501922607422,3.017690658569336,1.6857287883758545,-0.1517395228147506,-0.115221120417118,19.037710189819336,-0.115221120417118,-0.1627868115901947,-0.115221120417118,0.0,3.621923900092952,1
555948.5561746,43336.15625,-1.8788267374038696,3.529989957809448,1.708774209022522,-0.1462262570858001,-0.115221120417118,-22.476806640625,-0.115221120417118,-0.1627868115901947,-0.115221120417118,0.0,3.6232817000709474,1
555948.5577056,41727.73828125,-1.9848649501800537,3.939688920974731,1.7442080974578855,-0.1377492696046829,-0.115221120417118,-33.97361373901367,-0.115221120417118,-0.1627868115901947,-0.115221120417118,0.0,3.6248127000872046,1
555948.565255,41805.2421875,-2.054222822189331,4.219831943511963,1.7895580530166626,-0.1269000023603439,-0.115221120417118,1.5180543661117554,-0.115221120417118,-0.1627868115901947,-0.115221120417118,0.0,3.632362100062892,1
555948.5700724,42812.0625,-2.086840867996216,4.354904174804688,1.8419189453125,-0.1143734455108642,-0.1143734455108642,34.5219612121582,-0.1143734455108642,-0.1627868115901947,0.26402893824672696,0.0,3.637179500074126,1
555948.5747066,43181.35546875,-2.0834743976593018,4.340865135192871,1.8982152938842771,-0.1009054183959961,-0.1143734455108642,19.07100486755371,-0.1143734455108642,-0.1627868115901947,-0.1143734455108642,0.0,3.6418137000873685,1
555948.5812742,42473.0546875,-2.045470714569092,4.183950901031494,1.9554399251937864,-0.0872153043746948,-0.1143734455108642,-22.346776962280277,-0.1143734455108642,-0.1627868115901947,-0.1143734455108642,0.0,3.6483813000377268,1
555948.590508,41444.94921875,-1.974717140197754,3.899507522583008,2.0108654499053955,-0.0739556327462196,-0.1143734455108642,-33.67242431640625,-0.1143734455108642,-0.1627868115901947,-0.1143734455108642,0.0,3.6576151000335813,1
555948.5914371,42600.20703125,-1.873732328414917,3.5108730792999268,2.062215805053711,-0.0616708397865295,-0.1143734455108642,1.911518096923828,-0.1143734455108642,-0.1627868115901947,-0.1143734455108642,0.0,3.6585442000068724,1
555948.5918766,43267.92578125,-1.745656967163086,3.04731822013855,2.107787609100342,-0.050768494606018,-0.1143734455108642,34.82450485229492,-0.1143734455108642,-0.1627868115901947,-0.1143734455108642,0.0,3.6589837000938132,1
555948.6014589,42380.07421875,-1.594029426574707,2.5409297943115234,2.146504640579224,-0.0415060520172119,-0.1143734455108642,19.0755558013916,-0.1143734455108642,-0.1627868115901947,-0.1143734455108642,0.0,3.6685660000657663,1
555948.6033863,41965.23046875,-1.4225318431854248,2.023597002029419,2.177905321121216,-0.0339939594268798,-0.0212161540985107,-22.73866844177246,-0.0212161540985107,-0.1627868115901947,0.26402893824672696,0.0,3.6704934000736102,1
555948.6043423,42100.67578125,-1.234933853149414,1.5250616073608398,2.2020866870880127,-0.0282089114189147,-0.0212161540985107,-34.3170280456543,-0.0212161540985107,-0.1627868115901947,-0.0212161540985107,0.0,3.6714494000189006,1
